block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,3.080868,2.625,1.0,1,1.0
1.0,2.0,3.466901,2.625,1.0,1,1.0
2.0,3.0,2.884178,2.625,1.0,1,1.0
3.0,4.0,2.275582,2.625,1.0,1,1.0
4.0,5.0,2.846396,2.625,1.0,1,1.0
5.0,6.0,2.589025,2.625,1.0,1,1.0
6.0,7.0,2.689819,2.625,1.0,1,1.0
7.0,8.0,2.451098,2.625,1.0,1,1.0
8.0,9.0,3.012476,2.625,1.0,1,1.0
9.0,10.0,2.931506,2.625,1.0,1,1.0
10.0,11.0,3.330058,2.929594,1.0,2,1.0
11.0,12.0,2.992979,3.0,1.0,1,1.0
12.0,13.0,2.851912,3.0,1.0,1,1.0
13.0,14.0,3.227226,3.0,1.0,1,1.0
14.0,15.0,2.912408,3.0,1.0,1,1.0
15.0,16.0,2.883415,3.0,1.0,1,1.0
16.0,17.0,2.929011,3.0,1.0,1,1.0
17.0,18.0,3.049476,3.0,1.0,1,1.0
18.0,19.0,3.010475,3.0,1.0,1,1.0
19.0,20.0,2.458118,3.0,1.0,1,1.0
20.0,21.0,2.75981,3.0,1.0,1,1.0
21.0,22.0,3.29382,3.0,1.0,1,1.0
22.0,23.0,3.146468,3.0,1.0,1,1.0
23.0,24.0,3.05808,3.0,1.0,1,1.0
24.0,25.0,3.011912,3.789438,1.0,2,1.0
25.0,26.0,2.776489,4.0,1.0,1,1.0
26.0,27.0,3.402479,4.0,1.0,1,1.0
27.0,28.0,3.237229,4.0,1.0,1,1.0
28.0,29.0,3.148062,4.0,1.0,1,1.0
29.0,30.0,2.90637,4.0,1.0,1,1.0
30.0,31.0,2.878517,4.0,1.0,1,1.0
31.0,32.0,2.671768,4.0,1.0,1,1.0
32.0,33.0,2.5906,4.0,1.0,1,1.0
33.0,34.0,2.224524,4.0,1.0,1,1.0
34.0,35.0,3.031149,3.894063,1.0,2,1.0
35.0,36.0,2.560452,2.5,1.0,1,1.0
36.0,37.0,2.978582,2.5,1.0,1,1.0
37.0,38.0,3.201856,2.5,1.0,1,1.0
38.0,39.0,2.733977,2.5,1.0,1,1.0
39.0,40.0,3.068392,2.5,1.0,1,1.0
40.0,41.0,2.654775,2.5,1.0,1,1.0
41.0,42.0,2.735669,2.5,1.0,1,1.0
42.0,43.0,2.994092,2.5,1.0,1,1.0
43.0,44.0,2.975112,2.5,1.0,1,1.0
44.0,45.0,3.112368,2.5,1.0,1,1.0
45.0,46.0,2.852392,2.5,1.0,1,1.0
46.0,47.0,2.720475,2.5,1.0,1,1.0
47.0,48.0,3.104626,2.855641,1.0,2,1.0
48.0,49.0,2.669991,2.875,1.0,1,1.0
49.0,50.0,2.64114,2.875,1.0,1,1.0
50.0,51.0,2.365793,2.875,1.0,1,1.0
51.0,52.0,2.385689,2.875,1.0,1,1.0
52.0,53.0,3.53007,2.875,1.0,1,1.0
53.0,54.0,2.807873,2.875,1.0,1,1.0
54.0,55.0,2.866372,2.875,1.0,1,1.0
55.0,56.0,2.387862,2.875,1.0,1,1.0
56.0,57.0,3.212818,2.875,1.0,1,1.0
57.0,58.0,2.319577,2.875,1.0,1,1.0
58.0,59.0,3.032096,2.875,1.0,1,1.0
59.0,60.0,2.899922,2.875,1.0,1,1.0
60.0,61.0,2.517592,2.875,1.0,1,1.0
61.0,62.0,2.887426,2.875,1.0,1,1.0
62.0,63.0,3.062432,2.875,1.0,1,1.0
63.0,64.0,2.522751,2.875,1.0,1,1.0
64.0,65.0,3.148268,2.939719,1.0,2,1.0
65.0,66.0,2.538342,3.125,1.0,1,1.0
66.0,67.0,2.557019,3.125,1.0,1,1.0
67.0,68.0,4.11812,3.125,1.0,1,1.0
68.0,69.0,3.17746,3.125,1.0,1,1.0
69.0,70.0,3.151985,3.125,1.0,1,1.0
70.0,71.0,2.556789,3.125,1.0,1,1.0
71.0,72.0,3.03207,3.125,1.0,1,1.0
72.0,73.0,2.395218,3.125,1.0,1,1.0
73.0,74.0,3.336024,3.125,1.0,1,1.0
74.0,75.0,2.781205,3.125,1.0,1,1.0
75.0,76.0,3.199802,3.096734,1.0,2,1.0
76.0,77.0,2.711659,3.0,1.0,1,1.0
77.0,78.0,2.843296,3.0,1.0,1,1.0
78.0,79.0,2.548291,3.0,1.0,1,1.0
79.0,80.0,2.855515,3.0,1.0,1,1.0
80.0,81.0,2.49114,3.0,1.0,1,1.0
81.0,82.0,3.162858,3.0,1.0,1,1.0
82.0,83.0,2.605336,3.0,1.0,1,1.0
83.0,84.0,2.687707,3.0,1.0,1,1.0
84.0,85.0,2.926272,3.361656,1.0,2,1.0
85.0,86.0,3.028469,3.5,1.0,1,1.0
86.0,87.0,3.128068,3.5,1.0,1,1.0
87.0,88.0,2.837764,3.5,1.0,1,1.0
88.0,89.0,2.827149,3.5,1.0,1,1.0
89.0,90.0,2.568454,3.5,1.0,1,1.0
90.0,91.0,2.984375,3.5,1.0,1,1.0
91.0,92.0,2.576576,3.5,1.0,1,1.0
92.0,93.0,2.583588,3.5,1.0,1,1.0
93.0,94.0,3.850617,3.5,1.0,1,1.0
94.0,95.0,3.0343,3.5,1.0,1,1.0
95.0,96.0,3.061636,3.5,1.0,1,1.0
96.0,97.0,3.13059,3.5,1.0,1,1.0
97.0,98.0,3.299025,3.5,1.0,2,1.0
98.0,99.0,3.08574,3.5,1.0,1,1.0
99.0,100.0,2.757526,3.5,1.0,1,1.0
100.0,101.0,3.256107,3.5,1.0,1,1.0
101.0,102.0,2.450457,3.5,1.0,1,1.0
102.0,103.0,3.512681,3.5,1.0,1,1.0
103.0,104.0,3.514677,3.5,1.0,1,1.0
104.0,105.0,3.133899,3.5,1.0,1,1.0
105.0,106.0,2.28122,3.5,1.0,1,1.0
