block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,4.304426,4.25,1.0,1,1.0
1.0,2.0,3.877915,4.25,1.0,1,1.0
2.0,3.0,4.050463,4.25,1.0,1,1.0
3.0,4.0,4.292452,4.25,1.0,1,1.0
4.0,5.0,3.815964,4.25,1.0,2,1.0
5.0,6.0,3.378132,4.25,1.0,1,1.0
6.0,7.0,2.22399,4.25,1.0,1,1.0
7.0,8.0,2.22399,4.25,1.0,1,1.0
8.0,9.0,1.193089,4.25,1.0,1,1.0
9.0,10.0,3.743267,4.25,1.0,1,1.0
10.0,11.0,4.053802,4.25,1.0,1,1.0
11.0,12.0,4.122333,4.25,1.0,1,1.0
12.0,13.0,3.204208,4.25,1.0,1,1.0
13.0,14.0,4.104015,4.341227,1.0,2,1.0
14.0,15.0,4.26422,4.375,1.0,1,1.0
15.0,16.0,4.042664,4.375,1.0,1,1.0
16.0,17.0,4.35136,4.375,1.0,1,1.0
17.0,18.0,3.316066,4.375,1.0,1,1.0
18.0,19.0,2.22399,4.375,1.0,1,1.0
19.0,20.0,2.22399,4.375,1.0,1,1.0
20.0,21.0,2.670295,4.368109,1.0,2,1.0
21.0,22.0,4.18261,3.625,1.0,1,1.0
22.0,23.0,4.181938,3.625,1.0,1,1.0
23.0,24.0,3.914005,4.114281,1.0,2,1.0
24.0,25.0,3.183103,4.375,1.0,1,1.0
25.0,26.0,2.225304,4.375,1.0,1,1.0
26.0,27.0,2.225304,4.375,1.0,1,1.0
27.0,28.0,2.803167,4.375,1.0,1,1.0
28.0,29.0,4.049107,4.375,1.0,1,1.0
29.0,30.0,4.330398,4.375,1.0,1,1.0
30.0,31.0,3.942957,4.375,1.0,1,1.0
31.0,32.0,3.508564,4.375,1.0,2,1.0
32.0,33.0,4.174398,4.375,1.0,1,1.0
33.0,34.0,3.571756,4.375,1.0,1,1.0
34.0,35.0,4.170539,4.375,1.0,1,1.0
35.0,36.0,3.448981,4.375,1.0,1,1.0
36.0,37.0,3.659816,4.508062,1.0,2,1.0
37.0,38.0,2.901909,4.875,1.0,1,1.0
38.0,39.0,2.214022,4.875,1.0,1,1.0
39.0,40.0,1.19261,4.875,1.0,1,1.0
40.0,41.0,4.309345,4.875,1.0,1,1.0
41.0,42.0,4.143979,4.875,1.0,1,1.0
42.0,43.0,1.192625,4.875,1.0,1,1.0
43.0,44.0,2.214022,4.875,1.0,1,1.0
44.0,45.0,3.370784,4.875,1.0,1,1.0
45.0,46.0,4.043348,4.875,1.0,1,1.0
46.0,47.0,4.292097,4.708477,1.0,2,1.0
47.0,48.0,3.929208,4.5,1.0,1,1.0
48.0,49.0,4.323014,4.5,1.0,1,1.0
49.0,50.0,3.365374,4.5,1.0,1,1.0
50.0,51.0,2.225304,4.5,1.0,1,1.0
51.0,52.0,2.225304,4.5,1.0,1,1.0
52.0,53.0,1.200223,4.5,1.0,1,1.0
53.0,54.0,4.104908,4.5,1.0,1,1.0
54.0,55.0,4.182185,4.506258,1.0,2,1.0
55.0,56.0,4.401888,4.625,1.0,1,1.0
56.0,57.0,2.212518,4.625,1.0,1,1.0
57.0,58.0,2.212518,4.625,1.0,1,1.0
58.0,59.0,4.115751,4.625,1.0,1,1.0
59.0,60.0,4.317455,4.40307,1.0,2,1.0
60.0,61.0,4.319941,4.25,1.0,1,1.0
61.0,62.0,4.152225,4.25,1.0,1,1.0
62.0,63.0,4.320686,4.25,1.0,1,1.0
63.0,64.0,3.996033,4.25,1.0,1,1.0
64.0,65.0,3.97858,4.25,1.0,2,1.0
65.0,66.0,1.193628,4.25,1.0,1,1.0
66.0,67.0,2.22399,4.25,1.0,1,1.0
67.0,68.0,2.22399,4.25,1.0,1,1.0
68.0,69.0,3.440692,4.25,1.0,1,1.0
69.0,70.0,4.068179,4.25,1.0,1,1.0
70.0,71.0,3.886611,4.25,1.0,1,1.0
71.0,72.0,3.350971,4.25,1.0,1,1.0
72.0,73.0,3.8324,4.290203,1.0,2,1.0
73.0,74.0,4.177718,4.375,1.0,1,1.0
74.0,75.0,4.18552,4.375,1.0,1,1.0
75.0,76.0,3.957471,4.375,1.0,1,1.0
76.0,77.0,4.013824,4.375,1.0,1,1.0
77.0,78.0,2.22399,4.375,1.0,1,1.0
78.0,79.0,2.22399,4.375,1.0,1,1.0
79.0,80.0,2.22399,4.375,1.0,1,1.0
80.0,81.0,2.722395,3.92425,1.0,2,1.0
81.0,82.0,3.887948,3.625,1.0,1,1.0
82.0,83.0,4.168213,3.808141,1.0,2,1.0
83.0,84.0,3.681169,4.375,1.0,1,1.0
84.0,85.0,2.225304,4.375,1.0,1,1.0
85.0,86.0,2.225304,4.375,1.0,1,1.0
86.0,87.0,2.225304,4.375,1.0,1,1.0
87.0,88.0,4.177915,4.375,1.0,1,1.0
88.0,89.0,4.129691,4.375,1.0,1,1.0
89.0,90.0,4.400373,4.375,1.0,1,1.0
90.0,91.0,3.386399,4.375,1.0,1,1.0
91.0,92.0,3.741338,4.375,1.0,2,1.0
92.0,93.0,3.941122,4.375,1.0,1,1.0
93.0,94.0,3.472387,4.375,1.0,1,1.0
94.0,95.0,3.787246,4.375,1.0,1,1.0
95.0,96.0,3.903876,4.375,1.0,1,1.0
96.0,97.0,3.625968,4.803969,1.0,2,1.0
97.0,98.0,2.214022,4.875,1.0,1,1.0
98.0,99.0,2.214022,4.875,1.0,1,1.0
99.0,100.0,3.373328,4.875,1.0,1,1.0
100.0,101.0,4.352826,4.875,1.0,1,1.0
101.0,102.0,2.838243,4.875,1.0,1,1.0
102.0,103.0,2.214022,4.875,1.0,1,1.0
103.0,104.0,1.196347,4.875,1.0,1,1.0
104.0,105.0,4.230014,4.875,1.0,1,1.0
105.0,106.0,4.107491,4.861547,1.0,2,1.0
106.0,107.0,4.408696,4.5,1.0,1,1.0
107.0,108.0,4.326702,4.5,1.0,1,1.0
108.0,109.0,4.110254,4.5,1.0,1,1.0
109.0,110.0,2.225304,4.5,1.0,1,1.0
110.0,111.0,2.225304,4.5,1.0,1,1.0
111.0,112.0,2.225304,4.5,1.0,1,1.0
112.0,113.0,4.076748,4.5,1.0,1,1.0
113.0,114.0,3.982233,4.5,1.0,1,1.0
114.0,115.0,3.906747,4.580234,1.0,2,1.0
115.0,116.0,2.403249,4.625,1.0,1,1.0
116.0,117.0,2.212518,4.625,1.0,1,1.0
117.0,118.0,2.99162,4.625,1.0,1,1.0
118.0,119.0,4.289816,4.556141,1.0,2,1.0
119.0,120.0,3.847176,4.25,1.0,1,1.0
120.0,121.0,4.289949,4.25,1.0,1,1.0
121.0,122.0,4.326537,4.25,1.0,1,1.0
122.0,123.0,4.327528,4.25,1.0,1,1.0
123.0,124.0,4.167487,4.25,1.0,2,1.0
124.0,125.0,3.379271,4.25,1.0,1,1.0
125.0,126.0,2.22399,4.25,1.0,1,1.0
126.0,127.0,2.22399,4.25,1.0,1,1.0
127.0,128.0,1.193216,4.25,1.0,1,1.0
128.0,129.0,3.883637,4.25,1.0,1,1.0
129.0,130.0,4.184223,4.25,1.0,1,1.0
130.0,131.0,3.578698,4.25,1.0,1,1.0
131.0,132.0,3.398093,4.25,1.0,1,1.0
132.0,133.0,3.956149,4.36418,1.0,2,1.0
133.0,134.0,4.361634,4.375,1.0,1,1.0
134.0,135.0,4.19938,4.375,1.0,1,1.0
135.0,136.0,4.043845,4.375,1.0,1,1.0
136.0,137.0,2.048169,4.375,1.0,1,1.0
137.0,138.0,2.22399,4.375,1.0,1,1.0
138.0,139.0,2.22399,4.375,1.0,1,1.0
139.0,140.0,2.157689,4.230391,1.0,2,1.0
140.0,141.0,3.7154,3.625,1.0,1,1.0
141.0,142.0,4.344375,3.625,1.0,1,1.0
142.0,143.0,4.231568,4.252,1.0,2,1.0
143.0,144.0,2.540103,4.375,1.0,1,1.0
144.0,145.0,2.225304,4.375,1.0,1,1.0
145.0,146.0,2.225304,4.375,1.0,1,1.0
146.0,147.0,2.964147,4.375,1.0,1,1.0
147.0,148.0,4.296168,4.375,1.0,1,1.0
148.0,149.0,4.260327,4.375,1.0,1,1.0
149.0,150.0,3.256876,4.375,1.0,1,1.0
150.0,151.0,3.676226,4.375,1.0,2,1.0
151.0,152.0,4.019553,4.375,1.0,1,1.0
152.0,153.0,4.184829,4.375,1.0,1,1.0
153.0,154.0,4.239863,4.375,1.0,1,1.0
154.0,155.0,3.356559,4.375,1.0,1,1.0
155.0,156.0,3.666528,4.599875,1.0,2,1.0
156.0,157.0,1.77559,4.875,1.0,1,1.0
157.0,158.0,2.214022,4.875,1.0,1,1.0
158.0,159.0,1.285706,4.875,1.0,1,1.0
159.0,160.0,4.431939,4.875,1.0,1,1.0
160.0,161.0,3.828457,4.875,1.0,1,1.0
161.0,162.0,2.214022,4.875,1.0,1,1.0
162.0,163.0,2.214022,4.875,1.0,1,1.0
163.0,164.0,3.609208,4.875,1.0,1,1.0
