block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,3.553363,3.25,1.0,1,1.0
1.0,2.0,1.192474,3.25,1.0,1,1.0
2.0,3.0,1.192402,3.25,1.0,1,1.0
3.0,4.0,3.422356,3.25,1.0,1,1.0
4.0,5.0,4.194936,3.480695,1.0,2,1.0
5.0,6.0,4.215252,4.375,1.0,1,1.0
6.0,7.0,4.330051,4.553195,1.0,2,1.0
7.0,8.0,4.345767,4.75,1.0,1,1.0
8.0,9.0,4.257925,4.75,1.0,1,1.0
9.0,10.0,3.881075,4.75,1.0,1,1.0
10.0,11.0,4.015601,4.75,1.0,1,1.0
11.0,12.0,3.7823,4.75,1.0,1,1.0
12.0,13.0,1.192363,4.75,1.0,1,1.0
13.0,14.0,1.19231,4.75,1.0,1,1.0
14.0,15.0,1.192255,4.75,1.0,1,1.0
15.0,16.0,3.864391,4.75,1.0,1,1.0
16.0,17.0,3.627399,4.196641,1.0,2,1.0
17.0,18.0,4.039973,4.125,1.0,1,1.0
18.0,19.0,4.291832,4.125,1.0,1,1.0
19.0,20.0,4.276034,4.125,1.0,1,1.0
20.0,21.0,4.414687,4.125,1.0,1,1.0
21.0,22.0,4.307283,4.125,1.0,1,1.0
22.0,23.0,4.215431,4.125,1.0,1,1.0
23.0,24.0,3.222037,4.125,1.0,1,1.0
24.0,25.0,4.138542,4.131734,1.0,2,1.0
25.0,26.0,4.077554,4.375,1.0,1,1.0
26.0,27.0,3.86109,4.375,1.0,1,1.0
27.0,28.0,4.357994,4.375,1.0,1,1.0
28.0,29.0,4.307255,4.375,1.0,1,1.0
29.0,30.0,3.770821,4.375,1.0,2,1.0
30.0,31.0,3.533698,4.375,1.0,1,1.0
31.0,32.0,1.192311,4.375,1.0,1,1.0
32.0,33.0,1.192184,4.375,1.0,1,1.0
33.0,34.0,3.729992,4.375,1.0,1,1.0
34.0,35.0,4.186041,4.375,1.0,1,1.0
35.0,36.0,3.709608,4.146344,1.0,2,1.0
36.0,37.0,1.192341,4.125,1.0,1,1.0
37.0,38.0,1.192346,4.125,1.0,1,1.0
38.0,39.0,4.474809,4.125,1.0,1,1.0
39.0,40.0,4.277443,4.318375,1.0,2,1.0
40.0,41.0,4.274427,4.625,1.0,1,1.0
41.0,42.0,4.269468,4.625,1.0,1,1.0
