block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,3.37289,3.25,1.0,1,1.0
1.0,2.0,4.1806,3.25,1.0,1,1.0
2.0,3.0,4.1144,3.25,1.0,1,1.0
3.0,4.0,4.351358,3.25,1.0,1,1.0
4.0,5.0,3.820975,3.480695,1.0,2,1.0
5.0,6.0,4.215252,4.375,1.0,1,1.0
6.0,7.0,4.319406,4.553195,1.0,2,1.0
7.0,8.0,4.38483,4.75,1.0,1,1.0
8.0,9.0,4.290971,4.75,1.0,1,1.0
9.0,10.0,4.386968,4.75,1.0,1,1.0
10.0,11.0,3.508285,4.75,1.0,1,1.0
11.0,12.0,3.9038,4.75,1.0,1,1.0
12.0,13.0,3.626817,4.75,1.0,1,1.0
13.0,14.0,4.339466,4.75,1.0,1,1.0
14.0,15.0,3.794863,4.75,1.0,1,1.0
15.0,16.0,4.325081,4.75,1.0,1,1.0
16.0,17.0,3.871444,4.196641,1.0,2,1.0
17.0,18.0,4.039973,4.125,1.0,1,1.0
18.0,19.0,4.291832,4.125,1.0,1,1.0
19.0,20.0,4.276034,4.125,1.0,1,1.0
20.0,21.0,4.414687,4.125,1.0,1,1.0
21.0,22.0,4.307283,4.125,1.0,1,1.0
22.0,23.0,4.215431,4.125,1.0,1,1.0
23.0,24.0,3.222037,4.125,1.0,1,1.0
24.0,25.0,3.987771,4.131734,1.0,2,1.0
25.0,26.0,4.331875,4.375,1.0,1,1.0
26.0,27.0,4.318834,4.375,1.0,1,1.0
27.0,28.0,4.363122,4.375,1.0,1,1.0
28.0,29.0,4.328677,4.375,1.0,1,1.0
29.0,30.0,3.956856,4.375,1.0,2,1.0
30.0,31.0,4.355478,4.375,1.0,1,1.0
31.0,32.0,4.103829,4.375,1.0,1,1.0
32.0,33.0,4.358645,4.375,1.0,1,1.0
33.0,34.0,4.385898,4.375,1.0,1,1.0
34.0,35.0,3.89057,4.375,1.0,1,1.0
35.0,36.0,4.166846,4.146344,1.0,2,1.0
36.0,37.0,3.902772,4.125,1.0,1,1.0
37.0,38.0,3.746228,4.125,1.0,1,1.0
38.0,39.0,4.304563,4.125,1.0,1,1.0
39.0,40.0,4.381791,4.318375,1.0,2,1.0
40.0,41.0,4.349127,4.625,1.0,1,1.0
41.0,42.0,4.339823,4.625,1.0,1,1.0
42.0,43.0,4.17196,4.625,1.0,1,1.0
43.0,44.0,4.151061,4.625,1.0,1,1.0
44.0,45.0,4.222414,4.625,1.0,1,1.0
45.0,46.0,4.191162,4.625,1.0,1,1.0
46.0,47.0,4.307254,4.745805,1.0,2,1.0
47.0,48.0,4.310137,4.635719,1.0,2,1.0
48.0,49.0,4.383708,4.5,1.0,1,1.0
49.0,50.0,4.320281,4.5,1.0,1,1.0
50.0,51.0,4.200035,4.5,1.0,1,1.0
51.0,52.0,4.393501,4.5,1.0,1,1.0
52.0,53.0,4.0433,4.195078,1.0,2,1.0
53.0,54.0,4.326302,4.125,1.0,1,1.0
54.0,55.0,4.377297,4.125,1.0,1,1.0
55.0,56.0,4.003883,4.125,1.0,1,1.0
56.0,57.0,4.081707,4.125,1.0,1,1.0
57.0,58.0,4.337562,4.035625,1.0,2,1.0
58.0,59.0,3.534991,3.125,1.0,1,1.0
59.0,60.0,3.980716,3.125,1.0,1,1.0
60.0,61.0,3.849755,3.125,1.0,1,1.0
61.0,62.0,4.005102,3.125,1.0,1,1.0
62.0,63.0,4.094095,3.125,1.0,1,1.0
63.0,64.0,4.159732,3.125,1.0,1,1.0
64.0,65.0,4.115946,3.125,1.0,1,1.0
65.0,66.0,4.253047,3.866375,1.0,2,1.0
66.0,67.0,4.344623,4.25,1.0,1,1.0
67.0,68.0,4.34979,4.25,1.0,1,1.0
68.0,69.0,4.286047,4.25,1.0,1,1.0
69.0,70.0,4.279801,4.25,1.0,1,1.0
70.0,71.0,4.086009,4.139086,1.0,2,1.0
71.0,72.0,3.947339,4.125,1.0,1,1.0
72.0,73.0,4.383895,4.125,1.0,1,1.0
73.0,74.0,3.751541,4.125,1.0,1,1.0
74.0,75.0,3.97193,4.125,1.0,1,1.0
75.0,76.0,4.272607,4.125,1.0,1,1.0
76.0,77.0,4.331157,4.125,1.0,1,1.0
77.0,78.0,4.196037,4.125,1.0,1,1.0
78.0,79.0,3.492806,4.125,1.0,1,1.0
79.0,80.0,4.248597,4.54075,1.0,2,1.0
80.0,81.0,4.403296,4.625,1.0,1,1.0
81.0,82.0,4.296659,4.625,1.0,1,1.0
82.0,83.0,4.274715,4.625,1.0,1,1.0
83.0,84.0,4.322951,4.625,1.0,1,1.0
84.0,85.0,4.321255,4.625,1.0,1,1.0
85.0,86.0,4.345471,4.625,1.0,1,1.0
86.0,87.0,4.017589,4.603094,1.0,2,1.0
87.0,88.0,4.325222,4.375,1.0,1,1.0
88.0,89.0,4.035115,4.375,1.0,1,1.0
89.0,90.0,4.350678,4.375,1.0,1,1.0
90.0,91.0,4.330655,4.375,1.0,1,1.0
91.0,92.0,4.147072,4.375,1.0,1,1.0
92.0,93.0,3.470705,4.375,1.0,1,1.0
93.0,94.0,4.245594,4.375,1.0,1,1.0
94.0,95.0,4.369156,4.375,1.0,1,1.0
95.0,96.0,4.322988,4.375,1.0,1,1.0
96.0,97.0,4.068771,4.415453,1.0,2,1.0
97.0,98.0,4.15539,4.5,1.0,1,1.0
98.0,99.0,4.285575,4.5,1.0,1,1.0
99.0,100.0,4.283641,4.5,1.0,1,1.0
100.0,101.0,4.308987,4.5,1.0,1,1.0
101.0,102.0,4.189119,3.7275,1.0,2,1.0
102.0,103.0,4.291352,3.5,1.0,1,1.0
103.0,104.0,4.158756,3.5,1.0,1,1.0
104.0,105.0,3.975137,3.5,1.0,1,1.0
105.0,106.0,4.264286,3.5,1.0,1,1.0
106.0,107.0,3.182821,4.243641,1.0,2,1.0
107.0,108.0,4.279613,4.375,1.0,1,1.0
108.0,109.0,4.248097,4.375,1.0,1,1.0
109.0,110.0,3.747091,4.375,1.0,1,1.0
110.0,111.0,3.58469,4.375,1.0,1,1.0
111.0,112.0,4.397034,4.375,1.0,1,1.0
112.0,113.0,3.823297,4.375,1.0,1,1.0
113.0,114.0,4.187767,4.260164,1.0,2,1.0
114.0,115.0,3.902329,4.25,1.0,1,1.0
115.0,116.0,4.19025,4.25,1.0,1,1.0
116.0,117.0,4.337828,4.25,1.0,1,1.0
117.0,118.0,3.952505,4.25,1.0,1,1.0
118.0,119.0,4.216846,4.325164,1.0,2,1.0
119.0,120.0,4.307238,4.375,1.0,1,1.0
120.0,121.0,4.249319,4.375,1.0,1,1.0
121.0,122.0,4.305445,4.375,1.0,1,1.0
122.0,123.0,3.813686,4.375,1.0,1,1.0
123.0,124.0,3.79861,4.367078,1.0,2,1.0
124.0,125.0,4.36634,4.25,1.0,1,1.0
125.0,126.0,3.902569,4.25,1.0,1,1.0
126.0,127.0,4.357886,4.25,1.0,1,1.0
127.0,128.0,4.329553,4.25,1.0,1,1.0
128.0,129.0,4.198503,4.25,1.0,1,1.0
129.0,130.0,4.395991,4.25,1.0,1,1.0
130.0,131.0,4.120388,4.25,1.0,1,1.0
131.0,132.0,4.315892,4.25,1.0,1,1.0
132.0,133.0,4.211884,4.440562,1.0,2,1.0
133.0,134.0,3.835448,4.5,1.0,1,1.0
134.0,135.0,4.298254,4.5,1.0,1,1.0
135.0,136.0,4.337618,4.5,1.0,1,1.0
136.0,137.0,4.27047,4.5,1.0,1,1.0
137.0,138.0,4.064179,4.35975,1.0,2,1.0
138.0,139.0,4.266595,4.25,1.0,1,1.0
139.0,140.0,3.260374,4.25,1.0,1,1.0
140.0,141.0,4.209693,4.25,1.0,1,1.0
141.0,142.0,3.991153,4.25,1.0,1,1.0
142.0,143.0,4.316032,4.25,1.0,1,1.0
143.0,144.0,3.624629,4.046484,1.0,2,1.0
144.0,145.0,4.176471,4.0,1.0,1,1.0
145.0,146.0,3.890326,4.021422,1.0,2,1.0
146.0,147.0,4.152065,4.25,1.0,1,1.0
147.0,148.0,2.857951,4.25,1.0,1,1.0
148.0,149.0,4.345857,4.25,1.0,1,1.0
149.0,150.0,3.658011,4.25,1.0,1,1.0
150.0,151.0,4.257771,4.25,1.0,1,1.0
151.0,152.0,4.313198,4.251711,1.0,2,1.0
152.0,153.0,4.298522,4.375,1.0,1,1.0
153.0,154.0,4.114202,4.375,1.0,1,1.0
154.0,155.0,4.075257,4.375,1.0,1,1.0
155.0,156.0,4.174913,4.375,1.0,1,1.0
156.0,157.0,4.248908,4.375,1.0,1,1.0
157.0,158.0,4.182462,4.375,1.0,1,1.0
158.0,159.0,4.377112,4.375,1.0,1,1.0
159.0,160.0,4.23779,4.286125,1.0,2,1.0
160.0,161.0,4.119232,4.25,1.0,1,1.0
161.0,162.0,4.335694,4.25,1.0,1,1.0
162.0,163.0,3.455936,4.25,1.0,1,1.0
163.0,164.0,4.282685,4.25,1.0,1,1.0
164.0,165.0,4.343802,4.25,1.0,1,1.0
165.0,166.0,3.760989,4.25,1.0,1,1.0
166.0,167.0,3.971789,4.25,1.0,1,1.0
167.0,168.0,4.2462,4.25,1.0,2,1.0
168.0,169.0,4.32296,4.25,1.0,1,1.0
169.0,170.0,4.200196,4.25,1.0,1,1.0
170.0,171.0,3.899095,4.25,1.0,1,1.0
171.0,172.0,4.305273,4.25,1.0,1,1.0
172.0,173.0,4.344219,4.25,1.0,1,1.0
