seconds,mos_pred_concat,mos_target_concat_durw
10.18775,3.135996,2.625
24.210563,3.069651,2.842201
34.929375,3.035323,3.197496
47.051625,2.899369,3.017795
64.741125,2.884496,2.978778
75.773875,2.908506,3.000068
84.276688,2.889557,3.000062
97.810375,2.907977,3.069236
108.831438,2.913766,3.112859
115.058,2.91218,3.093222
128.87575,2.85052,3.04302
143.028563,2.814958,3.063501
147.708813,2.803414,3.081293
162.985813,2.779667,3.073673
168.69925,2.768927,3.083878
179.544,2.758785,3.109012
188.691688,2.756224,3.127967
