block_start_s,block_end_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,3.665843,3.25,1.0,1,1.0
1.0,2.0,3.665843,3.25,1.0,1,1.0
2.0,3.0,3.665843,3.25,1.0,1,1.0
3.0,4.0,3.665843,3.25,1.0,1,1.0
4.0,5.0,3.833987,3.480695,1.0,2,1.0
5.0,6.0,4.485806,4.375,1.0,1,1.0
6.0,7.0,4.440797,4.553195,1.0,2,1.0
7.0,8.0,4.391088,4.75,1.0,1,1.0
8.0,9.0,4.391088,4.75,1.0,1,1.0
9.0,10.0,4.391088,4.75,1.0,1,1.0
10.0,11.0,4.391088,4.75,1.0,1,1.0
11.0,12.0,4.391088,4.75,1.0,1,1.0
12.0,13.0,4.391088,4.75,1.0,1,1.0
13.0,14.0,4.391088,4.75,1.0,1,1.0
14.0,15.0,4.391088,4.75,1.0,1,1.0
15.0,16.0,4.391088,4.75,1.0,1,1.0
16.0,17.0,4.451945,4.196641,1.0,2,1.0
17.0,18.0,4.459824,4.125,1.0,1,1.0
18.0,19.0,4.459824,4.125,1.0,1,1.0
19.0,20.0,4.459824,4.125,1.0,1,1.0
20.0,21.0,4.459824,4.125,1.0,1,1.0
21.0,22.0,4.459824,4.125,1.0,1,1.0
22.0,23.0,4.459824,4.125,1.0,1,1.0
23.0,24.0,4.459824,4.125,1.0,1,1.0
24.0,25.0,4.45676,4.131734,1.0,2,1.0
25.0,26.0,4.346094,4.375,1.0,1,1.0
26.0,27.0,4.346094,4.375,1.0,1,1.0
27.0,28.0,4.346094,4.375,1.0,1,1.0
28.0,29.0,4.346094,4.375,1.0,1,1.0
29.0,30.0,4.356564,4.375,1.0,2,1.0
30.0,31.0,4.459053,4.375,1.0,1,1.0
31.0,32.0,4.459053,4.375,1.0,1,1.0
32.0,33.0,4.459053,4.375,1.0,1,1.0
33.0,34.0,4.459053,4.375,1.0,1,1.0
34.0,35.0,4.459053,4.375,1.0,1,1.0
35.0,36.0,4.504269,4.146344,1.0,2,1.0
36.0,37.0,4.50849,4.125,1.0,1,1.0
37.0,38.0,4.50849,4.125,1.0,1,1.0
