block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,2.978803,2.75,1.0,1,1.0
1.0,2.0,3.795787,2.75,1.0,1,1.0
2.0,3.0,2.623695,2.75,1.0,1,1.0
3.0,4.0,3.75267,2.75,1.0,1,1.0
4.0,5.0,2.765171,2.75,1.0,1,1.0
5.0,6.0,2.753758,2.75,1.0,1,1.0
6.0,7.0,3.055921,2.84668,1.0,2,1.0
7.0,8.0,2.945952,2.875,1.0,1,1.0
8.0,9.0,2.447944,2.875,1.0,1,1.0
9.0,10.0,2.767019,2.875,1.0,1,1.0
10.0,11.0,2.380984,2.875,1.0,1,1.0
11.0,12.0,3.467957,2.875,1.0,1,1.0
12.0,13.0,2.609091,2.875,1.0,1,1.0
13.0,14.0,3.043273,2.875,1.0,1,1.0
14.0,15.0,2.626829,2.875,1.0,1,1.0
15.0,16.0,2.87113,2.875,1.0,1,1.0
16.0,17.0,2.571896,2.875,1.0,1,1.0
17.0,18.0,2.982934,2.875,1.0,1,1.0
18.0,19.0,2.924085,2.875,1.0,1,1.0
19.0,20.0,2.311566,2.875,1.0,1,1.0
20.0,21.0,2.979098,2.875,1.0,1,1.0
21.0,22.0,3.328199,2.875,1.0,1,1.0
22.0,23.0,2.874298,2.875,1.0,1,1.0
23.0,24.0,2.800417,2.854016,1.0,2,1.0
24.0,25.0,3.169217,2.625,1.0,1,1.0
25.0,26.0,3.377904,2.625,1.0,1,1.0
26.0,27.0,1.991271,2.625,1.0,1,1.0
27.0,28.0,3.257985,2.625,1.0,1,1.0
28.0,29.0,2.69189,2.625,1.0,1,1.0
29.0,30.0,2.748999,2.625,1.0,1,1.0
30.0,31.0,2.782133,2.625,1.0,1,1.0
31.0,32.0,2.675746,2.625,1.0,1,1.0
32.0,33.0,2.310024,2.625,1.0,1,1.0
33.0,34.0,3.063856,2.625,1.0,1,1.0
34.0,35.0,2.906955,2.625,1.0,1,1.0
35.0,36.0,2.839401,2.625,1.0,1,1.0
36.0,37.0,2.877339,2.625,1.0,1,1.0
37.0,38.0,2.871296,2.625,1.0,2,1.0
38.0,39.0,3.185158,2.625,1.0,1,1.0
39.0,40.0,3.285495,2.625,1.0,1,1.0
40.0,41.0,2.599627,2.625,1.0,1,1.0
41.0,42.0,2.71618,2.625,1.0,1,1.0
42.0,43.0,2.768497,2.625,1.0,1,1.0
43.0,44.0,2.863162,2.625,1.0,1,1.0
44.0,45.0,2.906907,2.625,1.0,1,1.0
45.0,46.0,2.831776,2.625,1.0,1,1.0
46.0,47.0,2.736681,2.625,1.0,1,1.0
47.0,48.0,2.765705,2.615195,1.0,2,1.0
48.0,49.0,2.631086,2.5,1.0,1,1.0
49.0,50.0,2.99214,2.5,1.0,1,1.0
50.0,51.0,3.150554,2.5,1.0,1,1.0
51.0,52.0,2.72734,2.5,1.0,1,1.0
52.0,53.0,2.904494,2.5,1.0,1,1.0
53.0,54.0,2.797343,2.5,1.0,1,1.0
54.0,55.0,2.006348,2.5,1.0,1,1.0
55.0,56.0,2.566586,2.5,1.0,1,1.0
56.0,57.0,2.939629,2.5,1.0,1,1.0
57.0,58.0,3.168198,2.5,1.0,1,1.0
58.0,59.0,2.487472,2.5,1.0,1,1.0
59.0,60.0,2.548468,2.5,1.0,1,1.0
60.0,61.0,2.405912,3.217141,1.0,2,1.0
61.0,62.0,2.274365,3.25,1.0,1,1.0
62.0,63.0,3.323772,3.25,1.0,1,1.0
63.0,64.0,2.932236,3.25,1.0,1,1.0
64.0,65.0,2.57274,3.25,1.0,1,1.0
65.0,66.0,3.241073,3.25,1.0,1,1.0
66.0,67.0,2.654111,3.25,1.0,1,1.0
67.0,68.0,2.747606,3.25,1.0,1,1.0
68.0,69.0,3.115338,3.25,1.0,1,1.0
69.0,70.0,2.660371,3.25,1.0,1,1.0
70.0,71.0,2.870126,3.25,1.0,1,1.0
71.0,72.0,3.158828,3.25,1.0,1,1.0
72.0,73.0,2.931406,3.25,1.0,1,1.0
73.0,74.0,2.981655,3.25,1.0,1,1.0
74.0,75.0,2.829783,3.350422,1.0,2,1.0
75.0,76.0,2.714622,3.375,1.0,1,1.0
76.0,77.0,3.113131,3.375,1.0,1,1.0
77.0,78.0,2.844244,3.375,1.0,1,1.0
78.0,79.0,2.5443,3.375,1.0,1,1.0
79.0,80.0,2.804811,3.386242,1.0,2,1.0
80.0,81.0,2.454685,3.5,1.0,1,1.0
81.0,82.0,3.021638,3.5,1.0,1,1.0
82.0,83.0,2.54503,3.5,1.0,1,1.0
83.0,84.0,3.257679,3.5,1.0,1,1.0
84.0,85.0,3.09996,3.5,1.0,1,1.0
85.0,86.0,3.070039,3.5,1.0,1,1.0
86.0,87.0,3.321699,3.5,1.0,1,1.0
87.0,88.0,2.707596,3.5,1.0,1,1.0
88.0,89.0,3.261828,3.5,1.0,1,1.0
89.0,90.0,2.960042,3.5,1.0,2,1.0
90.0,91.0,3.03169,3.5,1.0,1,1.0
91.0,92.0,3.187217,3.5,1.0,1,1.0
92.0,93.0,2.671361,3.5,1.0,1,1.0
93.0,94.0,2.482362,3.5,1.0,1,1.0
94.0,95.0,2.317576,3.5,1.0,1,1.0
95.0,96.0,3.338669,3.5,1.0,1,1.0
96.0,97.0,2.373507,3.5,1.0,1,1.0
97.0,98.0,3.214375,3.5,1.0,1,1.0
98.0,99.0,3.446107,3.5,1.0,1,1.0
99.0,100.0,3.108176,3.5,1.0,1,1.0
100.0,101.0,3.192819,3.5,1.0,1,1.0
101.0,102.0,3.083448,3.5,1.0,1,1.0
102.0,103.0,3.273612,3.5,1.0,2,1.0
103.0,104.0,2.686671,3.5,1.0,1,1.0
104.0,105.0,2.81831,3.5,1.0,1,1.0
105.0,106.0,3.060007,3.5,1.0,1,1.0
106.0,107.0,2.836977,3.5,1.0,1,1.0
107.0,108.0,2.765242,3.5,1.0,1,1.0
108.0,109.0,3.055427,3.5,1.0,1,1.0
109.0,110.0,2.41385,3.5,1.0,1,1.0
110.0,111.0,2.786404,3.5,1.0,1,1.0
111.0,112.0,2.948547,3.5,1.0,1,1.0
112.0,113.0,3.004164,3.5,1.0,1,1.0
113.0,114.0,2.577153,3.548438,1.0,2,1.0
114.0,115.0,2.984806,3.625,1.0,1,1.0
115.0,116.0,2.195975,3.625,1.0,1,1.0
116.0,117.0,2.83383,3.625,1.0,1,1.0
117.0,118.0,2.683361,3.625,1.0,1,1.0
118.0,119.0,2.20088,3.182969,1.0,2,1.0
119.0,120.0,2.44356,3.0,1.0,1,1.0
120.0,121.0,3.084128,3.0,1.0,1,1.0
121.0,122.0,3.184232,3.0,1.0,1,1.0
122.0,123.0,3.466881,3.0,1.0,1,1.0
123.0,124.0,2.762315,3.0,1.0,1,1.0
124.0,125.0,3.514216,3.0,1.0,1,1.0
125.0,126.0,2.837262,3.0,1.0,1,1.0
126.0,127.0,3.091004,3.0,1.0,1,1.0
127.0,128.0,3.195039,3.0,1.0,1,1.0
128.0,129.0,2.94951,3.0,1.0,1,1.0
129.0,130.0,2.696032,3.0,1.0,1,1.0
130.0,131.0,3.134943,3.0,1.0,1,1.0
131.0,132.0,3.349083,3.0,1.0,1,1.0
132.0,133.0,2.942551,3.0,1.0,1,1.0
133.0,134.0,3.052013,3.43025,1.0,2,1.0
134.0,135.0,2.982285,4.0,1.0,1,1.0
135.0,136.0,2.927162,4.0,1.0,1,1.0
136.0,137.0,3.097018,4.0,1.0,1,1.0
