elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.45825,4.501229,4.625
14.280312,4.573384,4.796951
19.086813,4.529437,4.659216
21.443625,4.47703,4.545548
26.250125,4.462718,4.491432
34.876312,4.451627,4.462634
44.698375,4.485579,4.553248
54.520437,4.507298,4.611213
56.87725,4.488457,4.570347
65.503438,4.479162,4.544622
73.224063,4.477645,4.526737
80.944688,4.476416,4.512264
85.751188,4.472069,4.497564
90.209438,4.473511,4.503862
94.667687,4.474816,4.509567
103.131375,4.435804,4.488265
111.595063,4.40271,4.470194
113.951875,4.395469,4.452713
118.711938,4.392826,4.449597
127.105938,4.394318,4.452926
131.866,4.39198,4.450113
136.6725,4.392222,4.443075
145.136188,4.369318,4.431816
152.856813,4.374139,4.428946
161.250813,4.376288,4.432645
169.877,4.3784,4.429718
174.637063,4.377068,4.428227
183.031063,4.378827,4.431518
