elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
10.18775,3.190666,2.625
24.210563,3.186389,2.842201
34.929375,3.272278,3.197496
47.051625,3.195892,3.017795
64.741125,3.154281,2.978778
75.773875,3.180228,3.000068
84.276688,3.164766,3.000062
97.810375,3.203213,3.069236
108.831438,3.190961,3.112859
115.058,3.223138,3.093222
128.87575,3.205544,3.04302
143.028563,3.172317,3.063501
147.708813,3.161037,3.081293
162.985813,3.147135,3.073673
168.69925,3.157659,3.083878
179.544,3.14212,3.109012
188.691688,3.134672,3.127967
