seconds,mos_pred_concat,mos_target_concat_durw
1.92275,4.672359,4.875
8.57075,4.534799,4.778042
14.858875,4.483413,4.607479
19.974375,4.478963,4.611966
24.718375,4.489685,4.542497
31.621813,4.49216,4.533219
37.94475,4.307136,4.527684
42.909312,4.334522,4.495556
49.510875,4.160967,4.396147
59.36325,4.221009,4.371891
61.286,4.238142,4.387675
67.934,4.25811,4.423132
74.222125,4.275871,4.419055
79.337625,4.287678,4.432333
84.081625,4.304567,4.422046
90.985062,4.337691,4.427961
97.308,4.255847,4.432642
102.272562,4.271155,4.423776
108.874125,4.195823,4.382922
118.7265,4.229999,4.371891
120.64925,4.237925,4.379909
127.29725,4.24498,4.399237
133.585375,4.252678,4.398096
138.700875,4.261089,4.406465
143.444875,4.273497,4.40129
150.348312,4.295604,4.405822
156.67125,4.245136,4.409623
161.635812,4.255634,4.40472
168.237375,4.206822,4.379029
178.08975,4.226402,4.371891
180.0125,4.232205,4.377265
