block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,2.983229,3.125,1.0,1,1.0
1.0,2.0,2.746201,3.125,1.0,1,1.0
2.0,3.0,2.109374,3.125,1.0,1,1.0
3.0,4.0,2.744558,3.125,1.0,1,1.0
4.0,5.0,3.158272,3.125,1.0,1,1.0
5.0,6.0,3.017959,3.125,1.0,1,1.0
6.0,7.0,2.364353,3.125,1.0,1,1.0
7.0,8.0,3.163958,3.125,1.0,1,1.0
8.0,9.0,3.361405,3.125,1.0,1,1.0
9.0,10.0,2.646256,3.2825,1.0,2,1.0
10.0,11.0,3.060576,3.625,1.0,1,1.0
11.0,12.0,2.986801,3.625,1.0,1,1.0
12.0,13.0,2.687587,3.625,1.0,1,1.0
13.0,14.0,2.869548,3.625,1.0,1,1.0
14.0,15.0,2.85014,3.625,1.0,1,1.0
15.0,16.0,2.602102,3.625,1.0,1,1.0
16.0,17.0,3.108911,3.625,1.0,1,1.0
17.0,18.0,2.818543,3.625,1.0,1,1.0
18.0,19.0,2.677011,3.625,1.0,1,1.0
19.0,20.0,2.934077,3.625,1.0,2,1.0
20.0,21.0,2.776392,3.625,1.0,1,1.0
21.0,22.0,2.941711,3.625,1.0,1,1.0
22.0,23.0,2.696122,3.625,1.0,1,1.0
23.0,24.0,2.679423,3.625,1.0,1,1.0
24.0,25.0,2.589929,3.546875,1.0,2,1.0
25.0,26.0,2.834025,3.5,1.0,1,1.0
26.0,27.0,2.776734,3.5,1.0,1,1.0
27.0,28.0,2.578216,3.5,1.0,1,1.0
28.0,29.0,2.490569,3.5,1.0,1,1.0
29.0,30.0,2.956788,3.5,1.0,1,1.0
30.0,31.0,2.561452,3.5,1.0,1,1.0
31.0,32.0,2.507281,3.5,1.0,1,1.0
32.0,33.0,3.0787,3.5,1.0,1,1.0
33.0,34.0,1.973262,3.5,1.0,1,1.0
34.0,35.0,2.723185,3.5,1.0,1,1.0
35.0,36.0,2.672432,3.5,1.0,1,1.0
36.0,37.0,1.946758,3.5,1.0,1,1.0
37.0,38.0,3.084508,3.5,1.0,1,1.0
38.0,39.0,3.205963,3.5,1.0,1,1.0
39.0,40.0,2.478669,2.909375,1.0,2,1.0
40.0,41.0,2.951089,2.875,1.0,1,1.0
41.0,42.0,2.879077,2.875,1.0,1,1.0
42.0,43.0,2.36934,2.875,1.0,1,1.0
43.0,44.0,2.670223,3.02,1.0,2,1.0
44.0,45.0,2.622749,3.125,1.0,1,1.0
45.0,46.0,3.002683,3.125,1.0,1,1.0
46.0,47.0,2.59195,3.125,1.0,1,1.0
47.0,48.0,1.808288,3.125,1.0,1,1.0
48.0,49.0,2.651376,3.125,1.0,1,1.0
49.0,50.0,2.184371,3.125,1.0,1,1.0
50.0,51.0,3.090701,3.125,1.0,1,1.0
51.0,52.0,2.649111,3.125,1.0,1,1.0
52.0,53.0,2.881158,3.125,1.0,1,1.0
53.0,54.0,2.716414,3.125,1.0,1,1.0
54.0,55.0,3.040461,3.125,1.0,1,1.0
55.0,56.0,1.89011,3.125,1.0,1,1.0
56.0,57.0,2.9566,3.04625,1.0,2,1.0
57.0,58.0,2.690816,2.875,1.0,1,1.0
58.0,59.0,2.096617,2.875,1.0,1,1.0
59.0,60.0,2.478374,2.875,1.0,1,1.0
60.0,61.0,2.221596,2.875,1.0,1,1.0
61.0,62.0,2.784405,2.875,1.0,1,1.0
62.0,63.0,2.378713,2.875,1.0,1,1.0
63.0,64.0,2.888713,2.875,1.0,1,1.0
64.0,65.0,2.565977,2.875,1.0,1,1.0
65.0,66.0,2.27912,2.875,1.0,1,1.0
66.0,67.0,2.733432,2.875,1.0,1,1.0
67.0,68.0,2.703786,2.875,1.0,1,1.0
68.0,69.0,2.967724,2.875,1.0,1,1.0
69.0,70.0,3.08244,2.875,1.0,1,1.0
70.0,71.0,3.030375,3.13375,1.0,2,1.0
71.0,72.0,3.19135,3.625,1.0,1,1.0
72.0,73.0,2.98665,3.625,1.0,1,1.0
73.0,74.0,1.504021,3.625,1.0,1,1.0
74.0,75.0,2.14807,3.625,1.0,1,1.0
75.0,76.0,2.14807,3.625,1.0,1,1.0
76.0,77.0,2.361298,3.625,1.0,1,1.0
77.0,78.0,2.56307,3.51125,1.0,2,1.0
78.0,79.0,2.701461,3.375,1.0,1,1.0
79.0,80.0,3.217621,3.375,1.0,1,1.0
80.0,81.0,2.956401,3.375,1.0,1,1.0
81.0,82.0,2.914539,3.375,1.0,1,1.0
82.0,83.0,1.797463,3.375,1.0,1,1.0
83.0,84.0,2.961675,3.375,1.0,1,1.0
84.0,85.0,2.803186,3.375,1.0,1,1.0
85.0,86.0,2.88997,3.375,1.0,1,1.0
86.0,87.0,1.753005,3.375,1.0,1,1.0
87.0,88.0,2.737316,3.375,1.0,1,1.0
88.0,89.0,2.454638,2.735,1.0,2,1.0
89.0,90.0,2.626295,2.375,1.0,1,1.0
90.0,91.0,2.852511,2.375,1.0,1,1.0
91.0,92.0,2.088138,2.375,1.0,1,1.0
92.0,93.0,2.741553,2.375,1.0,1,1.0
93.0,94.0,2.487664,2.375,1.0,1,1.0
94.0,95.0,2.601259,2.375,1.0,1,1.0
95.0,96.0,2.414051,2.375,1.0,1,1.0
96.0,97.0,2.960177,2.375,1.0,1,1.0
97.0,98.0,3.111109,2.375,1.0,1,1.0
98.0,99.0,2.459882,2.375,1.0,1,1.0
99.0,100.0,2.168184,2.375,1.0,1,1.0
100.0,101.0,2.58244,2.375,1.0,1,1.0
101.0,102.0,2.310583,2.6175,1.0,2,1.0
102.0,103.0,3.006321,2.875,1.0,1,1.0
103.0,104.0,2.731761,2.875,1.0,1,1.0
104.0,105.0,2.709071,2.875,1.0,1,1.0
105.0,106.0,2.218034,2.875,1.0,1,1.0
106.0,107.0,2.587392,2.875,1.0,1,1.0
107.0,108.0,1.888017,2.875,1.0,1,1.0
108.0,109.0,2.9003,2.875,1.0,1,1.0
109.0,110.0,2.616488,2.875,1.0,1,1.0
110.0,111.0,3.1411,3.11875,1.0,2,1.0
111.0,112.0,2.117356,3.25,1.0,1,1.0
112.0,113.0,3.051841,3.25,1.0,1,1.0
113.0,114.0,2.881782,3.25,1.0,1,1.0
114.0,115.0,2.562532,3.25,1.0,1,1.0
115.0,116.0,2.510759,3.25,1.0,1,1.0
116.0,117.0,2.654681,3.25,1.0,1,1.0
117.0,118.0,3.124202,3.25,1.0,1,1.0
118.0,119.0,2.159686,3.25,1.0,1,1.0
119.0,120.0,2.992607,3.25,1.0,1,1.0
120.0,121.0,3.184165,3.25,1.0,1,1.0
121.0,122.0,2.398873,3.28,1.0,2,1.0
122.0,123.0,3.645611,3.375,1.0,1,1.0
123.0,124.0,2.515301,3.375,1.0,1,1.0
124.0,125.0,3.12605,3.375,1.0,1,1.0
125.0,126.0,2.416946,3.375,1.0,1,1.0
