seconds,mos_pred_concat,mos_target_concat_durw
1.92275,4.672359,4.875
11.775125,4.567752,4.352056
18.376688,4.138846,4.135776
23.34125,4.257991,4.160071
29.664188,3.992652,4.232527
36.567625,4.163643,4.283022
41.311625,4.21908,4.27923
46.427125,4.249933,4.317328
52.71525,4.232719,4.324207
59.36325,4.249424,4.371891
61.286,4.269447,4.387675
71.138375,4.312408,4.368608
77.739938,4.203346,4.316077
82.7045,4.235627,4.31211
89.027438,4.156062,4.325455
95.930875,4.199473,4.338015
100.674875,4.222231,4.333868
105.790375,4.232655,4.347946
112.0785,4.242394,4.349463
118.7265,4.252798,4.371891
120.64925,4.261385,4.379909
130.501625,4.287214,4.370101
137.103187,4.228501,4.340243
142.06775,4.245934,4.33709
148.390687,4.197246,4.344031
155.294125,4.220518,4.350965
160.038125,4.233466,4.347972
165.153625,4.239324,4.356553
171.44175,4.244734,4.357229
178.08975,4.251168,4.371891
180.0125,4.257517,4.377265
