block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,4.267076,4.25,1.0,1,1.0
1.0,2.0,3.753371,4.25,1.0,1,1.0
2.0,3.0,4.303376,4.25,1.0,1,1.0
3.0,4.0,4.268395,4.25,1.0,1,1.0
4.0,5.0,4.077759,4.25,1.0,1,1.0
5.0,6.0,4.333863,4.25,1.0,2,1.0
6.0,7.0,4.336551,4.25,1.0,1,1.0
7.0,8.0,3.117615,4.25,1.0,1,1.0
8.0,9.0,3.983335,4.25,1.0,1,1.0
9.0,10.0,4.425331,4.25,1.0,1,1.0
10.0,11.0,4.384404,4.25,1.0,1,1.0
11.0,12.0,4.259994,4.366961,1.0,2,1.0
12.0,13.0,4.197867,4.375,1.0,1,1.0
13.0,14.0,4.325679,4.375,1.0,1,1.0
14.0,15.0,3.853019,4.375,1.0,1,1.0
15.0,16.0,4.238086,4.375,1.0,1,1.0
16.0,17.0,4.222473,4.026969,1.0,2,1.0
17.0,18.0,4.349829,3.5,1.0,1,1.0
18.0,19.0,4.148783,3.5,1.0,1,1.0
19.0,20.0,3.825337,3.5,1.0,1,1.0
20.0,21.0,3.958932,3.5,1.0,1,1.0
21.0,22.0,4.296016,4.034516,1.0,2,1.0
22.0,23.0,4.207951,4.625,1.0,1,1.0
23.0,24.0,4.380067,4.625,1.0,1,1.0
24.0,25.0,4.174556,4.625,1.0,1,1.0
25.0,26.0,4.218855,4.625,1.0,1,1.0
26.0,27.0,4.047339,4.625,1.0,1,1.0
27.0,28.0,4.247846,4.604445,1.0,2,1.0
28.0,29.0,4.294776,4.25,1.0,1,1.0
29.0,30.0,4.522336,4.25,1.0,1,1.0
30.0,31.0,4.054473,4.25,1.0,1,1.0
31.0,32.0,4.192454,4.25,1.0,1,1.0
32.0,33.0,4.167976,4.25,1.0,1,1.0
33.0,34.0,2.950707,4.25,1.0,1,1.0
34.0,35.0,4.435307,4.25,1.0,1,1.0
35.0,36.0,4.032967,3.168734,1.0,2,1.0
36.0,37.0,4.196291,3.125,1.0,1,1.0
37.0,38.0,4.06334,3.125,1.0,1,1.0
38.0,39.0,3.255172,3.125,1.0,1,1.0
39.0,40.0,4.280979,3.125,1.0,1,1.0
40.0,41.0,4.157538,3.125,1.0,1,1.0
41.0,42.0,4.1304,3.125,1.0,1,1.0
42.0,43.0,4.404748,3.788438,1.0,2,1.0
43.0,44.0,4.123141,4.375,1.0,1,1.0
44.0,45.0,3.976544,4.375,1.0,1,1.0
45.0,46.0,4.284645,4.375,1.0,1,1.0
46.0,47.0,4.433148,4.375,1.0,1,1.0
47.0,48.0,3.590132,4.419086,1.0,2,1.0
48.0,49.0,4.261415,4.5,1.0,1,1.0
49.0,50.0,4.301964,4.5,1.0,1,1.0
50.0,51.0,4.23447,4.5,1.0,1,1.0
51.0,52.0,4.002604,4.5,1.0,1,1.0
52.0,53.0,4.240338,4.299609,1.0,2,1.0
53.0,54.0,3.179744,4.25,1.0,1,1.0
54.0,55.0,3.528945,4.25,1.0,1,1.0
55.0,56.0,4.156754,4.25,1.0,1,1.0
56.0,57.0,3.593508,4.25,1.0,1,1.0
57.0,58.0,4.390736,4.25,1.0,1,1.0
58.0,59.0,4.037746,4.341195,1.0,2,1.0
59.0,60.0,4.062071,4.375,1.0,1,1.0
60.0,61.0,4.334824,4.375,1.0,1,1.0
61.0,62.0,3.442573,4.375,1.0,1,1.0
62.0,63.0,4.05102,4.375,1.0,1,1.0
63.0,64.0,4.352138,4.375,1.0,1,1.0
64.0,65.0,3.962624,4.375,1.0,1,1.0
65.0,66.0,3.535896,4.375,1.0,2,1.0
66.0,67.0,4.156278,4.375,1.0,1,1.0
67.0,68.0,4.285595,4.375,1.0,1,1.0
68.0,69.0,4.37011,4.375,1.0,1,1.0
69.0,70.0,3.727183,4.375,1.0,1,1.0
70.0,71.0,4.352559,4.266984,1.0,2,1.0
71.0,72.0,4.170572,4.25,1.0,1,1.0
72.0,73.0,4.292242,4.25,1.0,1,1.0
73.0,74.0,4.320486,4.25,1.0,1,1.0
