block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,4.671797,4.25,1.0,1,1.0
1.0,2.0,4.661094,4.25,1.0,1,1.0
2.0,3.0,4.4191,4.25,1.0,1,1.0
3.0,4.0,4.09369,4.25,1.0,1,1.0
4.0,5.0,4.136837,4.263289,1.0,2,1.0
5.0,6.0,4.425393,4.625,1.0,1,1.0
6.0,7.0,4.497859,4.625,1.0,1,1.0
7.0,8.0,4.239035,4.625,1.0,1,1.0
8.0,9.0,4.284435,4.625,1.0,1,1.0
9.0,10.0,4.33532,4.625,1.0,1,1.0
10.0,11.0,4.258411,4.280023,1.0,2,1.0
11.0,12.0,3.871045,4.25,1.0,1,1.0
12.0,13.0,4.399867,4.25,1.0,1,1.0
13.0,14.0,4.18948,4.25,1.0,1,1.0
14.0,15.0,4.075842,4.25,1.0,1,1.0
15.0,16.0,4.25973,4.25,1.0,1,1.0
16.0,17.0,4.58561,4.25,1.0,1,1.0
17.0,18.0,3.371776,4.25,1.0,1,1.0
18.0,19.0,4.385209,4.25,1.0,1,1.0
19.0,20.0,4.314287,4.283781,1.0,2,1.0
20.0,21.0,4.443978,4.75,1.0,1,1.0
21.0,22.0,3.948999,4.75,1.0,1,1.0
22.0,23.0,4.515893,4.75,1.0,1,1.0
23.0,24.0,4.044857,4.75,1.0,1,1.0
24.0,25.0,4.223758,4.75,1.0,1,1.0
25.0,26.0,4.54223,4.75,1.0,1,1.0
26.0,27.0,3.565161,4.592664,1.0,2,1.0
27.0,28.0,4.32611,4.375,1.0,1,1.0
28.0,29.0,4.213203,4.375,1.0,1,1.0
29.0,30.0,4.141685,4.375,1.0,1,1.0
30.0,31.0,3.964451,4.375,1.0,1,1.0
31.0,32.0,4.453753,4.375,1.0,1,1.0
32.0,33.0,4.33066,4.35857,1.0,2,1.0
33.0,34.0,4.290493,4.25,1.0,1,1.0
34.0,35.0,4.484514,4.25,1.0,1,1.0
35.0,36.0,4.395645,4.25,1.0,1,1.0
36.0,37.0,4.428349,4.25,1.0,1,1.0
37.0,38.0,4.394011,4.346859,1.0,2,1.0
38.0,39.0,4.484359,4.5,1.0,1,1.0
39.0,40.0,4.295859,4.5,1.0,1,1.0
40.0,41.0,3.427957,4.5,1.0,1,1.0
41.0,42.0,4.615192,4.5,1.0,1,1.0
42.0,43.0,4.252435,4.5,1.0,1,1.0
43.0,44.0,4.509751,4.5,1.0,1,1.0
44.0,45.0,4.323632,4.6815,1.0,2,1.0
