block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,4.093023,4.25,1.0,1,1.0
1.0,2.0,4.051089,4.25,1.0,1,1.0
2.0,3.0,4.009362,4.25,1.0,1,1.0
3.0,4.0,4.279576,4.25,1.0,1,1.0
4.0,5.0,3.710909,4.25,1.0,2,1.0
5.0,6.0,3.39169,4.25,1.0,1,1.0
6.0,7.0,3.474002,4.25,1.0,1,1.0
7.0,8.0,4.327518,4.25,1.0,1,1.0
8.0,9.0,4.242115,4.25,1.0,1,1.0
9.0,10.0,3.797677,4.25,1.0,1,1.0
10.0,11.0,3.806939,4.25,1.0,1,1.0
11.0,12.0,3.248248,4.25,1.0,1,1.0
12.0,13.0,3.789951,4.25,1.0,1,1.0
13.0,14.0,3.999735,4.341227,1.0,2,1.0
14.0,15.0,3.765805,4.375,1.0,1,1.0
15.0,16.0,3.945531,4.375,1.0,1,1.0
16.0,17.0,3.766102,4.375,1.0,1,1.0
17.0,18.0,4.032831,4.375,1.0,1,1.0
18.0,19.0,4.315388,4.375,1.0,1,1.0
19.0,20.0,3.994292,4.375,1.0,1,1.0
20.0,21.0,2.397853,4.368109,1.0,2,1.0
21.0,22.0,4.129,3.625,1.0,1,1.0
22.0,23.0,4.182442,3.625,1.0,1,1.0
23.0,24.0,4.027651,4.114281,1.0,2,1.0
24.0,25.0,4.041016,4.375,1.0,1,1.0
25.0,26.0,4.076177,4.375,1.0,1,1.0
26.0,27.0,4.042981,4.375,1.0,1,1.0
27.0,28.0,4.267442,4.375,1.0,1,1.0
28.0,29.0,3.633564,4.375,1.0,1,1.0
29.0,30.0,4.197197,4.375,1.0,1,1.0
30.0,31.0,3.222515,4.375,1.0,1,1.0
31.0,32.0,3.360136,4.375,1.0,2,1.0
32.0,33.0,4.060017,4.375,1.0,1,1.0
33.0,34.0,4.084538,4.375,1.0,1,1.0
34.0,35.0,4.022402,4.375,1.0,1,1.0
35.0,36.0,3.526872,4.375,1.0,1,1.0
36.0,37.0,3.419775,4.508062,1.0,2,1.0
37.0,38.0,3.749506,4.875,1.0,1,1.0
38.0,39.0,3.408781,4.875,1.0,1,1.0
39.0,40.0,3.954589,4.875,1.0,1,1.0
40.0,41.0,3.939144,4.875,1.0,1,1.0
41.0,42.0,3.637094,4.875,1.0,1,1.0
42.0,43.0,3.680249,4.875,1.0,1,1.0
43.0,44.0,3.632334,4.875,1.0,1,1.0
44.0,45.0,3.307888,4.875,1.0,1,1.0
45.0,46.0,4.136817,4.875,1.0,1,1.0
46.0,47.0,3.874013,4.708477,1.0,2,1.0
