block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,3.136926,3.125,1.0,1,1.0
1.0,2.0,3.082561,3.125,1.0,1,1.0
2.0,3.0,2.40129,3.125,1.0,1,1.0
3.0,4.0,2.72805,3.125,1.0,1,1.0
4.0,5.0,3.339486,3.125,1.0,1,1.0
5.0,6.0,3.351104,3.125,1.0,1,1.0
6.0,7.0,2.510563,3.125,1.0,1,1.0
7.0,8.0,3.048288,3.125,1.0,1,1.0
8.0,9.0,3.483638,3.125,1.0,1,1.0
9.0,10.0,2.567598,3.2825,1.0,2,1.0
10.0,11.0,2.977055,3.625,1.0,1,1.0
11.0,12.0,3.177711,3.625,1.0,1,1.0
12.0,13.0,2.985909,3.625,1.0,1,1.0
13.0,14.0,2.961948,3.625,1.0,1,1.0
14.0,15.0,2.829204,3.625,1.0,1,1.0
15.0,16.0,2.478857,3.625,1.0,1,1.0
16.0,17.0,3.219655,3.625,1.0,1,1.0
17.0,18.0,2.821378,3.625,1.0,1,1.0
18.0,19.0,2.958621,3.625,1.0,1,1.0
19.0,20.0,2.791208,3.625,1.0,2,1.0
20.0,21.0,2.80693,3.625,1.0,1,1.0
21.0,22.0,3.277296,3.625,1.0,1,1.0
22.0,23.0,2.992167,3.625,1.0,1,1.0
23.0,24.0,3.247263,3.625,1.0,1,1.0
24.0,25.0,1.992806,3.546875,1.0,2,1.0
25.0,26.0,3.091562,3.5,1.0,1,1.0
26.0,27.0,2.896072,3.5,1.0,1,1.0
27.0,28.0,3.250982,3.5,1.0,1,1.0
28.0,29.0,2.769486,3.5,1.0,1,1.0
29.0,30.0,3.125277,3.5,1.0,1,1.0
30.0,31.0,2.946599,3.5,1.0,1,1.0
31.0,32.0,2.685146,3.5,1.0,1,1.0
32.0,33.0,2.992311,3.5,1.0,1,1.0
33.0,34.0,2.400792,3.5,1.0,1,1.0
34.0,35.0,2.924232,3.5,1.0,1,1.0
35.0,36.0,2.795476,3.5,1.0,1,1.0
36.0,37.0,2.450574,3.5,1.0,1,1.0
37.0,38.0,3.180471,3.5,1.0,1,1.0
38.0,39.0,2.785793,3.5,1.0,1,1.0
39.0,40.0,2.738635,2.909375,1.0,2,1.0
40.0,41.0,3.1836,2.875,1.0,1,1.0
41.0,42.0,3.039339,2.875,1.0,1,1.0
42.0,43.0,2.409107,2.875,1.0,1,1.0
43.0,44.0,2.369581,3.02,1.0,2,1.0
44.0,45.0,2.913579,3.125,1.0,1,1.0
45.0,46.0,3.093653,3.125,1.0,1,1.0
46.0,47.0,2.568633,3.125,1.0,1,1.0
47.0,48.0,2.274573,3.125,1.0,1,1.0
48.0,49.0,3.200222,3.125,1.0,1,1.0
49.0,50.0,2.659189,3.125,1.0,1,1.0
50.0,51.0,2.699135,3.125,1.0,1,1.0
51.0,52.0,2.926333,3.125,1.0,1,1.0
52.0,53.0,3.040981,3.125,1.0,1,1.0
53.0,54.0,2.809466,3.125,1.0,1,1.0
54.0,55.0,3.021507,3.125,1.0,1,1.0
55.0,56.0,3.149468,3.125,1.0,1,1.0
56.0,57.0,2.631389,3.04625,1.0,2,1.0
57.0,58.0,2.881857,2.875,1.0,1,1.0
58.0,59.0,2.277112,2.875,1.0,1,1.0
59.0,60.0,2.948913,2.875,1.0,1,1.0
60.0,61.0,2.841855,2.875,1.0,1,1.0
61.0,62.0,3.220269,2.875,1.0,1,1.0
62.0,63.0,2.843361,2.875,1.0,1,1.0
63.0,64.0,2.916221,2.875,1.0,1,1.0
64.0,65.0,3.048309,2.875,1.0,1,1.0
65.0,66.0,2.801132,2.875,1.0,1,1.0
66.0,67.0,3.226574,2.875,1.0,1,1.0
67.0,68.0,2.700598,2.875,1.0,1,1.0
68.0,69.0,3.390161,2.875,1.0,1,1.0
69.0,70.0,2.822837,2.875,1.0,1,1.0
70.0,71.0,2.808611,3.13375,1.0,2,1.0
71.0,72.0,3.370131,3.625,1.0,1,1.0
72.0,73.0,2.592506,3.625,1.0,1,1.0
73.0,74.0,2.809941,3.625,1.0,1,1.0
74.0,75.0,2.303363,3.625,1.0,1,1.0
75.0,76.0,2.67551,3.625,1.0,1,1.0
76.0,77.0,2.929271,3.625,1.0,1,1.0
77.0,78.0,2.139306,3.51125,1.0,2,1.0
78.0,79.0,2.756317,3.375,1.0,1,1.0
79.0,80.0,3.223603,3.375,1.0,1,1.0
80.0,81.0,3.257625,3.375,1.0,1,1.0
81.0,82.0,3.284337,3.375,1.0,1,1.0
82.0,83.0,2.618505,3.375,1.0,1,1.0
83.0,84.0,2.850272,3.375,1.0,1,1.0
84.0,85.0,3.04632,3.375,1.0,1,1.0
85.0,86.0,3.283671,3.375,1.0,1,1.0
86.0,87.0,2.900476,3.375,1.0,1,1.0
87.0,88.0,3.102055,3.375,1.0,1,1.0
88.0,89.0,2.548115,2.735,1.0,2,1.0
89.0,90.0,2.842438,2.375,1.0,1,1.0
90.0,91.0,2.985941,2.375,1.0,1,1.0
91.0,92.0,2.934181,2.375,1.0,1,1.0
92.0,93.0,2.9131,2.375,1.0,1,1.0
93.0,94.0,2.524377,2.375,1.0,1,1.0
94.0,95.0,3.109664,2.375,1.0,1,1.0
95.0,96.0,2.894465,2.375,1.0,1,1.0
96.0,97.0,3.03752,2.375,1.0,1,1.0
97.0,98.0,3.029905,2.375,1.0,1,1.0
98.0,99.0,3.029921,2.375,1.0,1,1.0
99.0,100.0,3.174086,2.375,1.0,1,1.0
100.0,101.0,2.940622,2.375,1.0,1,1.0
101.0,102.0,2.311423,2.6175,1.0,2,1.0
102.0,103.0,2.960174,2.875,1.0,1,1.0
103.0,104.0,2.947794,2.875,1.0,1,1.0
104.0,105.0,2.996114,2.875,1.0,1,1.0
