block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,4.439879,4.875,1.0,1,1.0
1.0,2.0,4.031382,4.826719,1.0,2,1.0
2.0,3.0,4.169323,4.25,1.0,1,1.0
3.0,4.0,4.173409,4.25,1.0,1,1.0
4.0,5.0,4.143331,4.25,1.0,1,1.0
5.0,6.0,4.158774,4.25,1.0,1,1.0
6.0,7.0,4.420173,4.25,1.0,1,1.0
7.0,8.0,4.015003,4.25,1.0,1,1.0
8.0,9.0,4.418418,4.25,1.0,1,1.0
9.0,10.0,4.115578,4.25,1.0,1,1.0
10.0,11.0,4.201963,4.25,1.0,1,1.0
11.0,12.0,4.044343,4.137563,1.0,2,1.0
12.0,13.0,4.36895,3.75,1.0,1,1.0
13.0,14.0,4.452942,3.75,1.0,1,1.0
14.0,15.0,3.887886,3.75,1.0,1,1.0
15.0,16.0,4.443665,3.75,1.0,1,1.0
16.0,17.0,4.2403,3.75,1.0,1,1.0
17.0,18.0,4.203668,3.75,1.0,1,1.0
18.0,19.0,3.978519,4.061656,1.0,2,1.0
19.0,20.0,4.290355,4.25,1.0,1,1.0
20.0,21.0,4.173139,4.25,1.0,1,1.0
21.0,22.0,4.630013,4.25,1.0,1,1.0
22.0,23.0,4.587608,4.25,1.0,1,1.0
23.0,24.0,4.259359,4.414687,1.0,2,1.0
24.0,25.0,4.320742,4.5,1.0,1,1.0
25.0,26.0,4.50535,4.5,1.0,1,1.0
26.0,27.0,4.105485,4.5,1.0,1,1.0
27.0,28.0,4.404672,4.5,1.0,1,1.0
28.0,29.0,3.738533,4.5,1.0,1,1.0
29.0,30.0,4.41565,4.5,1.0,2,1.0
30.0,31.0,4.410013,4.5,1.0,1,1.0
31.0,32.0,4.364698,4.5,1.0,1,1.0
32.0,33.0,3.685726,4.5,1.0,1,1.0
33.0,34.0,4.657129,4.5,1.0,1,1.0
34.0,35.0,4.654112,4.5,1.0,1,1.0
35.0,36.0,4.257656,4.5,1.0,1,1.0
36.0,37.0,4.43225,4.391906,1.0,2,1.0
37.0,38.0,4.24008,4.25,1.0,1,1.0
38.0,39.0,4.454995,4.25,1.0,1,1.0
39.0,40.0,4.178193,4.25,1.0,1,1.0
40.0,41.0,4.512341,4.25,1.0,1,1.0
41.0,42.0,4.276341,4.508141,1.0,2,1.0
42.0,43.0,4.485033,4.625,1.0,1,1.0
43.0,44.0,4.187717,4.625,1.0,1,1.0
44.0,45.0,4.17504,4.625,1.0,1,1.0
45.0,46.0,4.360283,4.625,1.0,1,1.0
46.0,47.0,3.850517,4.481781,1.0,2,1.0
47.0,48.0,4.244457,4.375,1.0,1,1.0
48.0,49.0,4.144611,4.375,1.0,1,1.0
49.0,50.0,3.806874,4.375,1.0,1,1.0
50.0,51.0,4.025768,4.375,1.0,1,1.0
51.0,52.0,4.26905,4.375,1.0,1,1.0
52.0,53.0,4.031453,4.481781,1.0,2,1.0
53.0,54.0,4.482148,4.75,1.0,1,1.0
54.0,55.0,4.31722,4.75,1.0,1,1.0
55.0,56.0,4.001538,4.75,1.0,1,1.0
56.0,57.0,4.44955,4.75,1.0,1,1.0
57.0,58.0,4.04604,4.75,1.0,1,1.0
58.0,59.0,4.334553,4.75,1.0,1,1.0
59.0,60.0,4.409099,4.829594,1.0,2,1.0
60.0,61.0,4.518278,4.875,1.0,1,1.0
61.0,62.0,4.058179,4.42875,1.0,2,1.0
62.0,63.0,4.175193,4.25,1.0,1,1.0
63.0,64.0,4.407071,4.25,1.0,1,1.0
64.0,65.0,4.322901,4.25,1.0,1,1.0
65.0,66.0,3.907872,4.25,1.0,1,1.0
66.0,67.0,4.499964,4.25,1.0,1,1.0
67.0,68.0,4.212577,4.25,1.0,1,1.0
68.0,69.0,4.126309,4.25,1.0,1,1.0
69.0,70.0,3.559714,4.25,1.0,1,1.0
70.0,71.0,4.455583,4.25,1.0,1,1.0
71.0,72.0,4.441264,3.819188,1.0,2,1.0
72.0,73.0,3.666087,3.75,1.0,1,1.0
73.0,74.0,4.322916,3.75,1.0,1,1.0
74.0,75.0,4.359803,3.75,1.0,1,1.0
75.0,76.0,4.240707,3.75,1.0,1,1.0
76.0,77.0,4.63262,3.75,1.0,1,1.0
77.0,78.0,4.409946,3.880031,1.0,2,1.0
78.0,79.0,4.599164,4.25,1.0,1,1.0
79.0,80.0,4.292457,4.25,1.0,1,1.0
80.0,81.0,4.559292,4.25,1.0,1,1.0
81.0,82.0,4.46336,4.25,1.0,1,1.0
82.0,83.0,4.221988,4.323875,1.0,2,1.0
83.0,84.0,3.683452,4.5,1.0,1,1.0
84.0,85.0,4.580455,4.5,1.0,1,1.0
85.0,86.0,3.980114,4.5,1.0,1,1.0
86.0,87.0,4.329197,4.5,1.0,1,1.0
87.0,88.0,3.899261,4.5,1.0,1,1.0
88.0,89.0,4.266371,4.5,1.0,1,1.0
89.0,90.0,4.596679,4.5,1.0,2,1.0
90.0,91.0,4.213134,4.5,1.0,1,1.0
91.0,92.0,3.754148,4.5,1.0,1,1.0
92.0,93.0,3.933627,4.5,1.0,1,1.0
93.0,94.0,4.57023,4.5,1.0,1,1.0
94.0,95.0,4.389668,4.5,1.0,1,1.0
95.0,96.0,4.008638,4.482719,1.0,2,1.0
96.0,97.0,4.378146,4.25,1.0,1,1.0
97.0,98.0,4.512463,4.25,1.0,1,1.0
98.0,99.0,4.268612,4.25,1.0,1,1.0
99.0,100.0,4.283347,4.25,1.0,1,1.0
100.0,101.0,4.173399,4.371922,1.0,2,1.0
101.0,102.0,4.387332,4.625,1.0,1,1.0
102.0,103.0,4.313487,4.625,1.0,1,1.0
103.0,104.0,4.287827,4.625,1.0,1,1.0
