block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,2.729624,2.75,1.0,1,1.0
1.0,2.0,2.956886,2.75,1.0,1,1.0
2.0,3.0,2.647929,2.75,1.0,1,1.0
3.0,4.0,2.554631,2.75,1.0,1,1.0
4.0,5.0,2.795613,2.75,1.0,1,1.0
5.0,6.0,2.64661,2.75,1.0,1,1.0
6.0,7.0,2.110915,2.75,1.0,1,1.0
7.0,8.0,2.110915,2.75,1.0,1,1.0
8.0,9.0,2.110915,2.75,1.0,1,1.0
9.0,10.0,2.966396,2.75,1.0,1,1.0
10.0,11.0,2.609825,2.75,1.0,1,1.0
11.0,12.0,2.445602,2.75,1.0,1,1.0
12.0,13.0,3.308563,2.75,1.0,1,1.0
13.0,14.0,3.808335,2.75,1.0,1,1.0
14.0,15.0,2.610263,2.75,1.0,1,1.0
15.0,16.0,3.663447,2.75,1.0,1,1.0
16.0,17.0,2.968077,2.75,1.0,1,1.0
17.0,18.0,3.225723,2.75,1.0,1,1.0
18.0,19.0,2.456821,2.75,1.0,1,1.0
19.0,20.0,2.877079,2.908719,1.0,2,1.0
20.0,21.0,3.231533,3.0,1.0,1,1.0
21.0,22.0,2.46806,3.0,1.0,1,1.0
22.0,23.0,2.092721,3.0,1.0,1,1.0
23.0,24.0,2.092721,3.0,1.0,1,1.0
24.0,25.0,2.092721,3.0,1.0,1,1.0
25.0,26.0,2.443089,3.0,1.0,1,1.0
26.0,27.0,2.601785,3.0,1.0,1,1.0
27.0,28.0,2.771092,3.0,1.0,1,1.0
28.0,29.0,3.237356,3.0,1.0,1,1.0
29.0,30.0,2.092721,3.0,1.0,1,1.0
30.0,31.0,2.092721,3.0,1.0,1,1.0
31.0,32.0,2.092721,3.0,1.0,1,1.0
32.0,33.0,2.827209,3.0,1.0,1,1.0
33.0,34.0,2.962556,3.0,1.0,1,1.0
34.0,35.0,3.039292,2.933828,1.0,2,1.0
35.0,36.0,2.648769,2.75,1.0,1,1.0
36.0,37.0,2.510309,2.75,1.0,1,1.0
37.0,38.0,2.847995,2.75,1.0,1,1.0
38.0,39.0,2.762897,2.75,1.0,1,1.0
39.0,40.0,2.821731,2.75,1.0,1,1.0
40.0,41.0,2.109401,2.75,1.0,1,1.0
41.0,42.0,2.109401,2.75,1.0,1,1.0
42.0,43.0,2.109401,2.75,1.0,1,1.0
43.0,44.0,2.109401,2.75,1.0,1,1.0
44.0,45.0,2.554961,2.75,1.0,1,1.0
45.0,46.0,2.856835,2.75,1.0,1,1.0
46.0,47.0,2.83031,2.77307,1.0,2,1.0
47.0,48.0,2.862628,2.875,1.0,1,1.0
48.0,49.0,2.70406,2.875,1.0,1,1.0
49.0,50.0,2.885271,2.875,1.0,1,1.0
50.0,51.0,3.087757,2.875,1.0,1,1.0
51.0,52.0,2.505355,2.875,1.0,1,1.0
52.0,53.0,2.662752,2.875,1.0,1,1.0
53.0,54.0,2.100877,2.875,1.0,1,1.0
54.0,55.0,2.100877,2.875,1.0,1,1.0
55.0,56.0,2.100877,2.875,1.0,1,1.0
56.0,57.0,2.685316,2.875,1.0,1,1.0
57.0,58.0,3.044585,2.875,1.0,1,1.0
58.0,59.0,2.850851,2.875,1.0,1,1.0
59.0,60.0,2.100877,2.875,1.0,1,1.0
60.0,61.0,2.100877,2.875,1.0,1,1.0
61.0,62.0,2.100877,2.875,1.0,1,1.0
62.0,63.0,2.217844,2.875,1.0,1,1.0
63.0,64.0,2.879064,2.875,1.0,1,1.0
64.0,65.0,3.02467,2.875,1.0,1,1.0
65.0,66.0,2.664738,2.337891,1.0,2,1.0
66.0,67.0,2.121787,2.25,1.0,1,1.0
67.0,68.0,2.785268,2.25,1.0,1,1.0
68.0,69.0,2.88449,2.25,1.0,1,1.0
69.0,70.0,3.341763,2.25,1.0,1,1.0
70.0,71.0,2.107922,2.25,1.0,1,1.0
71.0,72.0,2.107922,2.25,1.0,1,1.0
72.0,73.0,2.107922,2.25,1.0,1,1.0
73.0,74.0,2.107922,2.25,1.0,1,1.0
74.0,75.0,2.268393,2.25,1.0,1,1.0
75.0,76.0,2.76373,2.25,1.0,1,1.0
76.0,77.0,2.84798,2.25,1.0,1,1.0
77.0,78.0,2.942765,2.25,1.0,1,1.0
78.0,79.0,2.943244,2.25,1.0,1,1.0
79.0,80.0,2.293777,2.969438,1.0,2,1.0
80.0,81.0,3.701543,3.0,1.0,1,1.0
81.0,82.0,2.086656,3.0,1.0,1,1.0
82.0,83.0,2.086656,3.0,1.0,1,1.0
83.0,84.0,2.387753,3.0,1.0,1,1.0
84.0,85.0,2.708536,3.0,1.0,1,1.0
85.0,86.0,2.350795,3.0,1.0,1,1.0
86.0,87.0,2.086656,3.0,1.0,1,1.0
87.0,88.0,2.086656,3.0,1.0,1,1.0
88.0,89.0,3.280808,3.0,1.0,1,1.0
89.0,90.0,3.01556,3.0,1.0,1,1.0
90.0,91.0,2.891407,3.361914,1.0,2,1.0
91.0,92.0,2.548499,3.625,1.0,1,1.0
92.0,93.0,2.359431,3.625,1.0,1,1.0
