elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.147687,2.966946,3.5
19.992438,2.910028,3.5
25.705875,3.110846,3.472217
40.982875,2.989538,3.296191
45.663125,2.970583,3.329892
59.815938,2.872868,3.310989
73.633688,2.794952,3.18226
79.86025,2.871022,3.148557
90.881313,2.889411,3.191176
104.415,2.899956,3.231204
112.917813,2.877699,3.213794
123.950563,2.892664,3.205891
141.640063,2.846797,3.164566
153.762313,2.823406,3.112173
164.481125,2.810872,3.17003
178.503938,2.834538,3.156673
188.691688,2.835798,3.127967
