block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,4.38272,4.25,1.0,1,1.0
1.0,2.0,1.130362,4.25,1.0,1,1.0
2.0,3.0,1.128455,4.25,1.0,1,1.0
3.0,4.0,3.316946,4.25,1.0,1,1.0
4.0,5.0,4.577061,4.25,1.0,1,1.0
5.0,6.0,4.350619,4.25,1.0,2,1.0
6.0,7.0,2.825808,4.25,1.0,1,1.0
7.0,8.0,1.127431,4.25,1.0,1,1.0
8.0,9.0,1.129684,4.25,1.0,1,1.0
9.0,10.0,3.752659,4.25,1.0,1,1.0
10.0,11.0,4.376126,4.25,1.0,1,1.0
11.0,12.0,4.112595,4.366961,1.0,2,1.0
12.0,13.0,3.950019,4.375,1.0,1,1.0
13.0,14.0,4.266542,4.375,1.0,1,1.0
14.0,15.0,3.801489,4.375,1.0,1,1.0
15.0,16.0,4.294416,4.375,1.0,1,1.0
16.0,17.0,4.058497,4.026969,1.0,2,1.0
17.0,18.0,4.045465,3.5,1.0,1,1.0
18.0,19.0,1.128127,3.5,1.0,1,1.0
19.0,20.0,1.129626,3.5,1.0,1,1.0
20.0,21.0,2.823602,3.5,1.0,1,1.0
21.0,22.0,4.470098,4.034516,1.0,2,1.0
22.0,23.0,4.518918,4.625,1.0,1,1.0
23.0,24.0,4.447538,4.625,1.0,1,1.0
24.0,25.0,3.974049,4.625,1.0,1,1.0
25.0,26.0,4.322113,4.625,1.0,1,1.0
26.0,27.0,4.2677,4.625,1.0,1,1.0
27.0,28.0,4.637102,4.604445,1.0,2,1.0
28.0,29.0,4.322366,4.25,1.0,1,1.0
29.0,30.0,4.40751,4.25,1.0,1,1.0
30.0,31.0,3.948863,4.25,1.0,1,1.0
31.0,32.0,1.941619,4.25,1.0,1,1.0
32.0,33.0,1.125791,4.25,1.0,1,1.0
33.0,34.0,1.129127,4.25,1.0,1,1.0
34.0,35.0,4.158675,4.25,1.0,1,1.0
35.0,36.0,3.828189,3.168734,1.0,2,1.0
36.0,37.0,4.525358,3.125,1.0,1,1.0
37.0,38.0,4.143477,3.125,1.0,1,1.0
38.0,39.0,3.140577,3.125,1.0,1,1.0
39.0,40.0,4.291744,3.125,1.0,1,1.0
40.0,41.0,4.084123,3.125,1.0,1,1.0
41.0,42.0,4.200244,3.125,1.0,1,1.0
42.0,43.0,4.391589,3.788438,1.0,2,1.0
43.0,44.0,2.650263,4.375,1.0,1,1.0
44.0,45.0,1.130922,4.375,1.0,1,1.0
45.0,46.0,1.132462,4.375,1.0,1,1.0
46.0,47.0,4.452114,4.375,1.0,1,1.0
47.0,48.0,4.381643,4.419086,1.0,2,1.0
48.0,49.0,4.217081,4.5,1.0,1,1.0
49.0,50.0,3.988458,4.5,1.0,1,1.0
50.0,51.0,4.132118,4.5,1.0,1,1.0
51.0,52.0,4.254196,4.5,1.0,1,1.0
52.0,53.0,4.37734,4.299609,1.0,2,1.0
53.0,54.0,1.145378,4.25,1.0,1,1.0
54.0,55.0,1.124308,4.25,1.0,1,1.0
55.0,56.0,1.126081,4.25,1.0,1,1.0
56.0,57.0,4.415748,4.25,1.0,1,1.0
57.0,58.0,4.276757,4.25,1.0,1,1.0
58.0,59.0,4.474598,4.341195,1.0,2,1.0
