block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,4.320178,4.625,1.0,1,1.0
1.0,2.0,4.741189,4.625,1.0,1,1.0
2.0,3.0,4.157896,4.625,1.0,1,1.0
3.0,4.0,4.375855,4.625,1.0,1,1.0
4.0,5.0,4.187406,4.760438,1.0,2,1.0
5.0,6.0,3.337474,4.875,1.0,1,1.0
6.0,7.0,4.416045,4.875,1.0,1,1.0
7.0,8.0,4.290859,4.875,1.0,1,1.0
8.0,9.0,4.015059,4.875,1.0,1,1.0
9.0,10.0,3.802676,4.875,1.0,1,1.0
10.0,11.0,4.033586,4.875,1.0,1,1.0
11.0,12.0,4.337274,4.875,1.0,1,1.0
12.0,13.0,3.996805,4.875,1.0,1,1.0
13.0,14.0,3.968552,4.875,1.0,1,1.0
14.0,15.0,4.428363,4.425195,1.0,2,1.0
15.0,16.0,4.247465,4.25,1.0,1,1.0
16.0,17.0,4.579766,4.25,1.0,1,1.0
17.0,18.0,4.460252,4.25,1.0,1,1.0
18.0,19.0,4.248142,4.25,1.0,1,1.0
19.0,20.0,3.759832,3.679258,1.0,2,1.0
20.0,21.0,4.375133,3.625,1.0,1,1.0
21.0,22.0,4.301594,3.972734,1.0,2,1.0
22.0,23.0,4.178789,4.25,1.0,1,1.0
23.0,24.0,4.493035,4.25,1.0,1,1.0
24.0,25.0,4.305754,4.25,1.0,1,1.0
25.0,26.0,4.411445,4.25,1.0,1,1.0
26.0,27.0,4.349733,4.343734,1.0,2,1.0
27.0,28.0,3.697395,4.375,1.0,1,1.0
28.0,29.0,4.283113,4.375,1.0,1,1.0
29.0,30.0,4.415305,4.375,1.0,1,1.0
30.0,31.0,4.348866,4.375,1.0,1,1.0
31.0,32.0,4.247049,4.375,1.0,1,1.0
32.0,33.0,4.23842,4.375,1.0,1,1.0
33.0,34.0,3.519431,4.375,1.0,1,1.0
34.0,35.0,4.034044,4.436844,1.0,2,1.0
35.0,36.0,4.357259,4.875,1.0,1,1.0
36.0,37.0,3.842816,4.875,1.0,1,1.0
37.0,38.0,4.452082,4.875,1.0,1,1.0
