elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.8065,4.445641,4.25
9.26475,4.278541,4.430452
17.65875,4.253308,4.463511
27.480812,4.247192,4.610584
32.240875,4.238142,4.575802
40.867063,4.23552,4.533417
43.223875,4.22434,4.483885
50.9445,4.255019,4.467383
59.408188,4.216327,4.436413
64.214687,4.233492,4.42246
68.672937,4.224721,4.435609
77.066937,4.224801,4.442623
86.889,4.226089,4.491499
91.649062,4.224001,4.485448
100.27525,4.224149,4.475947
102.632063,4.219702,4.456406
110.352688,4.234189,4.450711
118.816375,4.216327,4.436413
123.622875,4.225243,4.429166
128.081125,4.220828,4.435982
136.475125,4.221112,4.43992
146.297188,4.222125,4.46913
151.05725,4.220983,4.466164
159.683438,4.221239,4.461239
162.04025,4.218465,4.449076
169.760875,4.227938,4.445707
178.224563,4.216327,4.436413
183.031063,4.222349,4.431518
