block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,4.239004,4.25,1.0,1,1.0
1.0,2.0,4.265522,4.25,1.0,1,1.0
2.0,3.0,4.11519,4.25,1.0,1,1.0
3.0,4.0,4.315602,4.25,1.0,1,1.0
4.0,5.0,4.140797,4.322563,1.0,2,1.0
5.0,6.0,4.287899,4.625,1.0,1,1.0
6.0,7.0,4.402854,4.625,1.0,1,1.0
7.0,8.0,4.236933,4.625,1.0,1,1.0
8.0,9.0,4.554214,4.625,1.0,1,1.0
9.0,10.0,3.976171,4.533094,1.0,2,1.0
10.0,11.0,4.28186,4.5,1.0,1,1.0
11.0,12.0,3.685162,4.5,1.0,1,1.0
12.0,13.0,4.115509,4.5,1.0,1,1.0
13.0,14.0,4.218357,4.5,1.0,1,1.0
14.0,15.0,4.45247,4.5,1.0,1,1.0
15.0,16.0,4.177684,4.5,1.0,1,1.0
16.0,17.0,4.136813,4.5,1.0,1,1.0
17.0,18.0,4.341062,4.627969,1.0,2,1.0
18.0,19.0,4.146038,4.875,1.0,1,1.0
19.0,20.0,3.845751,4.875,1.0,1,1.0
20.0,21.0,4.183814,4.875,1.0,1,1.0
21.0,22.0,4.052568,4.875,1.0,1,1.0
22.0,23.0,3.756318,4.875,1.0,1,1.0
23.0,24.0,3.991802,4.875,1.0,1,1.0
24.0,25.0,4.248614,4.875,1.0,1,1.0
25.0,26.0,4.439339,4.875,1.0,1,1.0
26.0,27.0,4.063149,4.875,1.0,1,1.0
27.0,28.0,4.029333,4.615406,1.0,2,1.0
28.0,29.0,4.053778,4.375,1.0,1,1.0
29.0,30.0,4.217678,4.375,1.0,1,1.0
30.0,31.0,4.074325,4.375,1.0,1,1.0
31.0,32.0,4.142562,4.375,1.0,1,1.0
32.0,33.0,4.046772,4.375,1.0,2,1.0
33.0,34.0,3.7743,4.375,1.0,1,1.0
34.0,35.0,3.679191,4.375,1.0,1,1.0
35.0,36.0,4.303654,4.375,1.0,1,1.0
