block_start_s,block_end_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,20.0,3.042696,3.499953,20.0,3,20.0
20.0,40.0,2.964088,3.106985,20.0,2,20.0
40.0,60.0,2.777282,3.319717,20.0,4,20.0
60.0,80.0,3.113722,2.67003,20.0,3,20.0
80.0,100.0,2.995957,3.5,20.0,2,20.0
100.0,120.0,3.043732,3.154639,20.0,3,20.0
120.0,140.0,2.980366,2.924382,20.0,2,20.0
140.0,160.0,2.83958,2.998578,20.0,3,20.0
160.0,180.0,3.107051,3.196005,20.0,3,20.0
180.0,188.691688,3.09698,2.625,8.691687,1,20.0
