elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.794937,3.598527,3.25
6.524812,3.852786,3.548263
16.114625,4.213209,4.263417
24.973063,4.276067,4.214317
29.907312,4.285086,4.240828
35.085375,4.279863,4.260629
39.61325,4.312243,4.245127
46.033563,4.332611,4.298108
47.542875,4.338021,4.312454
52.186875,4.359784,4.329143
57.910625,4.38479,4.308966
65.341,4.349987,4.174329
70.112688,4.354357,4.179479
79.1685,4.377339,4.173247
86.912375,4.394736,4.213498
96.676375,4.432487,4.22981
101.2275,4.427164,4.241957
106.150125,4.424975,4.20755
113.081312,4.426503,4.217813
118.398687,4.428414,4.219259
123.936625,4.425315,4.226218
132.23775,4.435599,4.227711
137.439,4.438651,4.238015
143.185937,4.452822,4.238496
145.914312,4.446418,4.234037
151.986312,4.442868,4.234675
159.289,4.437122,4.241108
167.183812,4.440266,4.241528
174.231062,4.439298,4.24187
178.666062,4.44126,4.242072
185.75975,4.436947,4.242375
