elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.45825,4.610172,4.625
14.280312,4.468018,4.796951
19.086813,4.360319,4.659216
21.443625,4.318147,4.545548
26.250125,4.267279,4.491432
34.876312,4.28793,4.462634
44.698375,4.313324,4.553248
54.520437,4.329569,4.611213
56.87725,4.314944,4.570347
65.503438,4.319662,4.544622
73.224063,4.306427,4.526737
80.944688,4.295717,4.512264
85.751188,4.281403,4.497564
90.209438,4.297651,4.503862
94.667687,4.312368,4.509567
103.131375,4.285967,4.488265
111.595063,4.26357,4.470194
113.951875,4.257635,4.452713
118.711938,4.258814,4.449597
127.105938,4.271704,4.452926
131.866,4.272257,4.450113
136.6725,4.264101,4.443075
145.136188,4.248155,4.431816
152.856813,4.245427,4.428946
161.250813,4.256284,4.432645
169.877,4.261082,4.429718
174.637063,4.261789,4.428227
183.031063,4.270604,4.431518
