seconds,mos_pred_concat,mos_target_concat_durw
4.8065,4.040338,4.25
9.26475,4.401542,4.430452
17.65875,4.30829,4.463511
27.480812,4.24176,4.610584
32.240875,4.226175,4.575802
40.867063,4.194835,4.533417
43.223875,4.10552,4.483885
50.9445,4.003189,4.467383
59.408188,3.948916,4.436413
64.214687,4.004603,4.42246
68.672937,4.011525,4.435609
77.066937,4.005868,4.442623
86.889,4.006036,4.491499
91.649062,4.008988,4.485448
100.27525,4.024727,4.475947
102.632063,4.013172,4.456406
110.352688,3.987178,4.450711
118.816375,3.97009,4.436413
123.622875,3.997285,4.429166
128.081125,3.999575,4.435982
136.475125,3.992408,4.43992
146.297188,3.996132,4.46913
151.05725,4.000177,4.466164
159.683438,4.007566,4.461239
162.04025,3.997275,4.449076
169.760875,3.988051,4.445707
178.224563,3.9853,4.436413
183.031063,4.000044,4.431518
