block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,20.0,4.291099,4.611995,20.0,4,20.0
20.0,40.0,4.317426,4.418916,20.0,4,20.0
40.0,60.0,4.332996,4.64963,20.0,4,20.0
60.0,80.0,4.327336,4.375,20.0,3,20.0
80.0,100.0,4.280273,4.423089,20.0,5,20.0
100.0,120.0,4.039994,4.222201,20.0,5,20.0
120.0,140.0,4.198244,4.368575,20.0,4,20.0
140.0,160.0,4.197668,4.387544,20.0,3,20.0
160.0,180.0,4.315608,4.416336,20.0,4,20.0
180.0,183.031063,4.24464,4.5,3.031063,1,20.0
