block_start_s,block_end_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,20.0,3.136027,3.382875,20.0,3,20.0
20.0,40.0,2.976144,3.497812,20.0,3,20.0
40.0,60.0,3.062404,3.040812,20.0,3,20.0
60.0,80.0,3.140747,3.19475,20.0,3,20.0
80.0,100.0,3.141202,2.793,20.0,2,20.0
100.0,120.0,3.202574,3.018063,20.0,3,20.0
120.0,140.0,3.186116,3.364,20.0,3,20.0
140.0,160.0,3.211455,3.436281,20.0,2,20.0
160.0,180.0,2.991761,3.037969,20.0,3,20.0
180.0,185.935,3.241702,3.5,5.935,1,20.0
