block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,20.0,4.612915,4.145047,20.0,4,20.0
20.0,40.0,4.533558,4.41533,20.0,4,20.0
40.0,60.0,4.331483,4.571315,20.0,5,20.0
60.0,80.0,4.600758,4.125148,20.0,4,20.0
80.0,100.0,4.531867,4.41533,20.0,4,20.0
100.0,120.0,4.307072,4.591213,20.0,5,20.0
120.0,140.0,4.575891,4.10525,20.0,4,20.0
140.0,160.0,4.512057,4.41533,20.0,4,20.0
160.0,180.0,4.345003,4.611112,20.0,5,20.0
180.0,180.0125,2.326828,4.875,0.0125,1,20.0
