block_start_s,block_end_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,20.0,3.283707,2.836084,20.0,2,20.0
20.0,40.0,3.106957,2.673951,20.0,3,20.0
40.0,60.0,3.180543,2.54951,20.0,2,20.0
60.0,80.0,3.107616,3.28519,20.0,4,20.0
80.0,100.0,3.213963,3.5,20.0,2,20.0
100.0,120.0,3.134047,3.48657,20.0,4,20.0
120.0,140.0,3.329312,3.321512,20.0,2,20.0
140.0,160.0,3.377024,3.224982,20.0,3,20.0
160.0,180.0,3.158943,3.324798,20.0,2,20.0
180.0,188.691688,3.173543,3.010865,8.691687,2,20.0
