elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
5.317375,3.593904,4.25
11.064312,3.583024,4.25
16.60225,3.820852,4.291696
21.524875,3.785303,4.110639
27.945187,3.934731,4.228812
35.038875,3.845528,4.233101
42.46925,3.891239,4.039229
47.647312,3.781549,4.075719
52.198437,3.841813,4.112712
58.270437,3.81856,4.127018
65.201625,3.817354,4.153379
70.135875,3.864392,4.168971
78.437,3.854131,4.177546
83.63825,3.884288,4.197599
88.166125,3.844771,4.19387
92.601125,3.880202,4.196559
102.365125,3.836718,4.213579
109.412375,3.81593,4.215925
116.715063,3.803557,4.225878
121.51,3.768729,4.187369
123.019313,3.779815,4.194272
125.747688,3.787893,4.190056
127.477563,3.798446,4.192566
132.24925,3.826717,4.194638
137.973,3.867377,4.191749
147.562813,3.873692,4.228029
155.306688,3.869884,4.247823
159.950688,3.893571,4.255144
167.8455,3.874935,4.254902
176.703938,3.904331,4.24839
185.75975,3.892001,4.242375
