elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.964563,4.848176,4.25
10.080063,4.72572,4.440308
19.932437,4.676283,4.346241
26.580437,4.596771,4.447224
32.868562,4.56775,4.433407
37.612562,4.575057,4.410274
44.516,4.603238,4.424189
46.43875,4.606583,4.442854
51.403312,4.629917,4.424228
56.518812,4.627831,4.4424
62.806937,4.609534,4.435652
69.129875,4.61842,4.441538
75.452812,4.625817,4.446437
77.375562,4.627264,4.457086
87.227937,4.627087,4.433696
93.516062,4.614849,4.429749
100.4195,4.624606,4.434579
105.535,4.623747,4.443809
115.387375,4.623914,4.42726
121.988937,4.630715,4.39061
123.911687,4.631543,4.398126
130.559687,4.617633,4.416043
135.52425,4.626078,4.409961
142.427687,4.632413,4.414325
149.02925,4.637604,4.384897
150.952,4.638196,4.39114
155.696,4.637814,4.386839
162.018937,4.640502,4.391256
168.666937,4.629382,4.405395
173.410937,4.629281,4.401144
180.0125,4.633693,4.377265
