seconds,mos_pred_concat,mos_target_concat_durw
6.226562,3.564251,2.75
23.916062,2.649269,2.842456
37.733812,2.575755,2.762826
47.921563,2.557061,2.733525
60.043813,2.537063,2.686379
74.196625,2.462104,2.793888
79.910062,2.45902,2.835437
89.05775,2.460178,2.903698
102.591437,2.434662,2.982361
113.6125,2.442874,3.032575
118.29275,2.425722,3.056014
133.56975,2.424046,3.049608
144.288563,2.400241,3.12021
158.311375,2.408775,3.109562
169.344125,2.396949,3.110568
180.188875,2.398183,3.134006
188.691688,2.394001,3.127967
