block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,4.363822,4.252658,5.0,2,5.0
5.0,10.0,4.492044,4.625,5.0,1,5.0
10.0,15.0,4.326849,4.256005,5.0,2,5.0
15.0,20.0,4.390681,4.256756,5.0,2,5.0
20.0,25.0,4.42592,4.75,5.0,1,5.0
25.0,30.0,3.985539,4.493533,5.0,2,5.0
30.0,35.0,4.340286,4.321714,5.0,2,5.0
35.0,40.0,4.20629,4.369372,5.0,2,5.0
40.0,45.0,4.583016,4.5363,5.0,2,5.0
45.0,50.0,4.593763,4.429844,5.0,2,5.0
50.0,55.0,4.332512,4.519752,5.0,2,5.0
55.0,60.0,3.916104,4.450941,5.0,2,5.0
60.0,65.0,4.236547,4.429827,5.0,2,5.0
65.0,70.0,4.355518,4.5,5.0,2,5.0
70.0,75.0,4.593858,4.5,5.0,1,5.0
75.0,80.0,4.412,4.512984,5.0,3,5.0
80.0,85.0,4.514862,4.25,5.0,1,5.0
85.0,90.0,4.066888,4.319302,5.0,2,5.0
90.0,95.0,4.136158,4.412098,5.0,2,5.0
95.0,100.0,4.39711,4.5,5.0,1,5.0
100.0,105.0,4.237781,4.614513,5.0,2,5.0
105.0,110.0,4.421377,4.290125,5.0,2,5.0
110.0,115.0,4.378591,4.25,5.0,1,5.0
115.0,120.0,4.523669,3.788738,5.0,2,5.0
120.0,125.0,4.467055,4.400281,5.0,3,5.0
125.0,130.0,4.46208,4.75,5.0,1,5.0
130.0,135.0,4.760479,4.305969,5.0,2,5.0
135.0,140.0,4.634399,4.473787,5.0,2,5.0
140.0,145.0,4.629381,4.114153,5.0,2,5.0
145.0,150.0,4.708813,3.968419,5.0,2,5.0
150.0,155.0,4.242352,4.369,5.0,2,5.0
155.0,160.0,4.082232,4.4652,5.0,2,5.0
160.0,165.0,4.274025,4.649053,5.0,2,5.0
165.0,170.0,4.234887,4.616694,5.0,2,5.0
170.0,175.0,4.326858,4.091094,5.0,2,5.0
175.0,180.0,4.597868,3.75,5.0,1,5.0
180.0,180.0125,1.197176,3.75,0.0125,1,5.0
