block_start_s,block_end_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,4.144764,4.25,5.0,1,5.0
5.0,10.0,4.242594,4.25,5.0,2,5.0
10.0,15.0,4.13786,4.25,5.0,2,5.0
15.0,20.0,4.016218,4.25,5.0,2,5.0
20.0,25.0,3.904519,4.25,5.0,1,5.0
25.0,30.0,4.186224,4.338231,5.0,2,5.0
30.0,35.0,4.259339,4.344336,5.0,2,5.0
35.0,40.0,4.123251,4.242272,5.0,2,5.0
40.0,45.0,4.250803,4.121309,5.0,2,5.0
45.0,50.0,4.350801,4.333963,5.0,2,5.0
50.0,55.0,4.343004,4.4261,5.0,2,5.0
55.0,60.0,4.469337,4.25,5.0,1,5.0
60.0,65.0,4.305398,4.329422,5.0,2,5.0
65.0,70.0,4.117779,4.309027,5.0,2,5.0
70.0,75.0,4.206119,4.308039,5.0,2,5.0
75.0,80.0,4.367022,4.306684,5.0,2,5.0
80.0,85.0,3.967544,3.59355,5.0,2,5.0
85.0,90.0,4.317033,4.477084,5.0,2,5.0
90.0,95.0,3.967769,4.375,5.0,1,5.0
95.0,100.0,3.968883,4.432631,5.0,2,5.0
100.0,105.0,3.972602,4.625,5.0,1,5.0
105.0,110.0,4.125408,4.284125,5.0,2,5.0
110.0,115.0,4.19674,4.125,5.0,1,5.0
115.0,120.0,4.38864,4.233823,5.0,2,5.0
120.0,125.0,4.065357,3.219219,5.0,2,5.0
125.0,130.0,4.235624,3.555175,5.0,2,5.0
130.0,135.0,4.469831,4.232034,5.0,2,5.0
135.0,140.0,4.301378,4.582311,5.0,3,5.0
140.0,145.0,4.641069,4.625,5.0,1,5.0
145.0,150.0,4.295563,4.23965,5.0,2,5.0
150.0,155.0,3.619782,4.341281,5.0,2,5.0
155.0,160.0,4.220342,4.375,5.0,2,5.0
160.0,165.0,4.439068,4.164334,5.0,2,5.0
165.0,170.0,4.437388,4.169359,5.0,2,5.0
170.0,175.0,4.227371,4.75,5.0,1,5.0
175.0,180.0,4.24263,4.69262,5.0,2,5.0
180.0,185.0,3.971299,3.467083,5.0,2,5.0
185.0,185.75975,3.886229,3.25,0.75975,1,5.0
