block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,3.188628,2.75,5.0,1,5.0
5.0,10.0,1.321077,2.75,5.0,1,5.0
10.0,15.0,2.814736,2.75,5.0,1,5.0
15.0,20.0,2.745541,2.781744,5.0,2,5.0
20.0,25.0,2.373094,3.0,5.0,1,5.0
25.0,30.0,2.971401,3.0,5.0,1,5.0
30.0,35.0,2.732533,2.986766,5.0,2,5.0
35.0,40.0,2.713426,2.75,5.0,1,5.0
40.0,45.0,2.099445,2.75,5.0,1,5.0
45.0,50.0,3.063191,2.829614,5.0,2,5.0
50.0,55.0,2.535196,2.875,5.0,1,5.0
55.0,60.0,2.747492,2.875,5.0,1,5.0
60.0,65.0,2.387069,2.875,5.0,1,5.0
65.0,70.0,2.438082,2.267578,5.0,2,5.0
70.0,75.0,1.997409,2.25,5.0,1,5.0
75.0,80.0,2.693656,2.393888,5.0,2,5.0
80.0,85.0,2.294174,3.0,5.0,1,5.0
85.0,90.0,2.441269,3.0,5.0,1,5.0
90.0,95.0,2.939902,3.572383,5.0,2,5.0
95.0,100.0,2.338383,3.625,5.0,1,5.0
100.0,105.0,2.526474,3.625,5.0,1,5.0
105.0,110.0,2.564402,3.461225,5.0,2,5.0
110.0,115.0,2.573988,2.625,5.0,1,5.0
115.0,120.0,2.509208,2.625,5.0,1,5.0
120.0,125.0,2.798576,2.625,5.0,1,5.0
125.0,130.0,2.761303,2.510781,5.0,2,5.0
130.0,135.0,3.001658,2.839869,5.0,2,5.0
135.0,140.0,2.361103,3.0,5.0,1,5.0
140.0,145.0,3.082623,3.0,5.0,1,5.0
145.0,150.0,2.399324,3.0,5.0,1,5.0
150.0,155.0,3.125066,2.852575,5.0,2,5.0
155.0,160.0,2.752083,2.809672,5.0,2,5.0
160.0,165.0,2.857214,3.0,5.0,1,5.0
165.0,170.0,2.221736,3.0,5.0,1,5.0
170.0,175.0,3.030168,2.48142,5.0,2,5.0
175.0,180.0,2.307238,2.125,5.0,1,5.0
180.0,185.0,2.28526,2.125,5.0,1,5.0
185.0,186.281875,2.969279,2.125,1.281875,1,5.0
