block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,4.011504,3.296139,5.0,2,5.0
5.0,10.0,4.372735,4.635639,5.0,2,5.0
10.0,15.0,4.159995,4.75,5.0,1,5.0
15.0,20.0,4.127967,4.264328,5.0,2,5.0
20.0,25.0,4.270022,4.126347,5.0,2,5.0
25.0,30.0,4.170778,4.375,5.0,2,5.0
30.0,35.0,4.416299,4.375,5.0,1,5.0
35.0,40.0,4.413554,4.167944,5.0,3,5.0
40.0,45.0,4.557522,4.625,5.0,1,5.0
45.0,50.0,4.30732,4.601305,5.0,3,5.0
50.0,55.0,4.380262,4.289016,5.0,2,5.0
55.0,60.0,4.182588,3.707125,5.0,2,5.0
60.0,65.0,4.204046,3.125,5.0,1,5.0
65.0,70.0,4.265809,4.173275,5.0,2,5.0
70.0,75.0,4.263771,4.127817,5.0,2,5.0
75.0,80.0,4.475321,4.20815,5.0,2,5.0
80.0,85.0,4.03196,4.625,5.0,1,5.0
85.0,90.0,4.39653,4.470619,5.0,2,5.0
90.0,95.0,4.124828,4.375,5.0,1,5.0
95.0,100.0,4.270247,4.458091,5.0,2,5.0
100.0,105.0,4.352999,3.7455,5.0,2,5.0
105.0,110.0,4.424775,4.173728,5.0,2,5.0
110.0,115.0,4.38102,4.327033,5.0,2,5.0
115.0,120.0,4.273539,4.290033,5.0,2,5.0
120.0,125.0,4.285255,4.348416,5.0,2,5.0
125.0,130.0,4.563378,4.25,5.0,1,5.0
130.0,135.0,4.363948,4.388113,5.0,2,5.0
135.0,140.0,4.122363,4.37195,5.0,2,5.0
140.0,145.0,4.28569,4.159297,5.0,2,5.0
145.0,150.0,4.164134,4.204284,5.0,2,5.0
150.0,155.0,4.349521,4.325342,5.0,2,5.0
155.0,160.0,4.340388,4.357225,5.0,2,5.0
160.0,165.0,4.349781,4.25,5.0,1,5.0
165.0,170.0,4.178689,4.25,5.0,2,5.0
170.0,175.0,4.374602,4.25,5.0,2,5.0
175.0,180.0,4.285246,4.25,5.0,2,5.0
180.0,185.0,4.369132,4.25,5.0,1,5.0
185.0,185.75975,4.30717,4.25,0.75975,1,5.0
