block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5404,2.125,5.0,1,5.0
5.0,10.0,2.977477,2.125,5.0,1,5.0
10.0,15.0,2.280581,2.257092,5.0,2,5.0
15.0,20.0,3.149408,3.0,5.0,1,5.0
20.0,25.0,2.839522,3.0,5.0,1,5.0
25.0,30.0,3.22598,2.873766,5.0,2,5.0
30.0,35.0,3.184278,2.788481,5.0,2,5.0
35.0,40.0,3.060966,3.0,5.0,1,5.0
40.0,45.0,2.852337,3.0,5.0,1,5.0
45.0,50.0,2.838064,3.0,5.0,1,5.0
50.0,55.0,3.187825,2.968056,5.0,2,5.0
55.0,60.0,2.864673,2.5,5.0,1,5.0
60.0,65.0,2.460449,2.603734,5.0,2,5.0
65.0,70.0,2.804544,2.625,5.0,1,5.0
70.0,75.0,2.931835,2.625,5.0,1,5.0
75.0,80.0,3.125076,3.20485,5.0,2,5.0
80.0,85.0,2.685446,3.625,5.0,1,5.0
85.0,90.0,2.84431,3.625,5.0,1,5.0
90.0,95.0,2.994075,3.625,5.0,1,5.0
95.0,100.0,2.59124,3.107617,5.0,2,5.0
100.0,105.0,3.001718,3.0,5.0,1,5.0
105.0,110.0,2.770374,2.586169,5.0,2,5.0
110.0,115.0,2.646415,2.25,5.0,1,5.0
115.0,120.0,2.914954,2.25,5.0,1,5.0
120.0,125.0,2.939207,2.732344,5.0,2,5.0
125.0,130.0,3.047692,2.875,5.0,1,5.0
130.0,135.0,3.040739,2.875,5.0,1,5.0
135.0,140.0,2.674777,2.861661,5.0,2,5.0
140.0,145.0,2.615385,2.75,5.0,1,5.0
145.0,150.0,2.614851,2.75,5.0,1,5.0
150.0,155.0,2.893238,2.922672,5.0,2,5.0
155.0,160.0,2.824313,3.0,5.0,1,5.0
160.0,165.0,2.851716,3.0,5.0,1,5.0
165.0,170.0,3.09997,2.845837,5.0,2,5.0
170.0,175.0,3.029875,2.75,5.0,1,5.0
175.0,180.0,2.817732,2.75,5.0,1,5.0
180.0,185.0,2.568451,2.75,5.0,1,5.0
185.0,186.281875,2.772775,2.75,1.281875,1,5.0
