block_start_s,block_end_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,4.294736,4.264513,5.0,2,5.0
5.0,10.0,4.576806,4.606619,5.0,2,5.0
10.0,15.0,4.400624,4.5,5.0,1,5.0
15.0,20.0,4.426975,4.675594,5.0,2,5.0
20.0,25.0,4.4569,4.875,5.0,1,5.0
25.0,30.0,4.279542,4.623081,5.0,2,5.0
30.0,35.0,4.041069,4.375,5.0,2,5.0
35.0,40.0,3.989239,4.375,5.0,1,5.0
40.0,45.0,4.04853,4.021478,5.0,3,5.0
45.0,50.0,4.274228,4.375,5.0,1,5.0
50.0,55.0,3.987491,4.273613,5.0,2,5.0
55.0,60.0,3.963494,4.25,5.0,2,5.0
60.0,65.0,4.333206,4.308898,5.0,2,5.0
65.0,70.0,4.552358,4.591823,5.0,2,5.0
70.0,75.0,4.400624,4.5,5.0,1,5.0
75.0,80.0,4.433636,4.71998,5.0,2,5.0
80.0,85.0,4.4569,4.875,5.0,1,5.0
85.0,90.0,4.237877,4.5639,5.0,2,5.0
90.0,95.0,4.027381,4.375,5.0,2,5.0
95.0,100.0,3.989239,4.375,5.0,1,5.0
100.0,105.0,4.082262,4.021478,5.0,3,5.0
105.0,110.0,4.274228,4.375,5.0,1,5.0
110.0,115.0,3.945648,4.258817,5.0,2,5.0
115.0,120.0,4.006275,4.25,5.0,2,5.0
120.0,125.0,4.371677,4.353284,5.0,2,5.0
125.0,130.0,4.527909,4.577028,5.0,2,5.0
130.0,135.0,4.400624,4.5,5.0,1,5.0
135.0,140.0,4.440297,4.764366,5.0,2,5.0
140.0,145.0,4.4569,4.875,5.0,1,5.0
145.0,150.0,4.196212,4.504719,5.0,2,5.0
150.0,155.0,4.013693,4.375,5.0,2,5.0
155.0,160.0,3.983605,4.327516,5.0,2,5.0
160.0,165.0,4.121628,4.068962,5.0,2,5.0
165.0,170.0,4.257321,4.369022,5.0,2,5.0
170.0,175.0,3.920712,4.25,5.0,1,5.0
175.0,180.0,4.049057,4.25,5.0,2,5.0
180.0,183.031062,4.282157,4.25,3.031063,1,5.0
