block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.773901,2.625,5.0,1,5.0
5.0,10.0,3.27126,2.625,5.0,1,5.0
10.0,15.0,3.174661,2.985919,5.0,2,5.0
15.0,20.0,2.960222,3.0,5.0,1,5.0
20.0,25.0,3.037544,3.157888,5.0,2,5.0
25.0,30.0,2.442365,4.0,5.0,1,5.0
30.0,35.0,3.109753,3.978813,5.0,2,5.0
35.0,40.0,2.600836,2.5,5.0,1,5.0
40.0,45.0,3.344277,2.5,5.0,1,5.0
45.0,50.0,2.66513,2.721128,5.0,2,5.0
50.0,55.0,2.752079,2.875,5.0,1,5.0
55.0,60.0,2.960301,2.875,5.0,1,5.0
60.0,65.0,3.164899,2.887944,5.0,2,5.0
65.0,70.0,2.692874,3.125,5.0,1,5.0
70.0,75.0,3.66554,3.125,5.0,1,5.0
75.0,80.0,3.27453,3.019347,5.0,2,5.0
80.0,85.0,2.852544,3.072331,5.0,2,5.0
85.0,90.0,3.05551,3.5,5.0,1,5.0
90.0,95.0,2.910394,3.5,5.0,1,5.0
95.0,100.0,3.251227,3.5,5.0,2,5.0
100.0,105.0,2.842578,3.5,5.0,1,5.0
105.0,110.0,3.179872,3.324716,5.0,2,5.0
110.0,115.0,3.83964,2.75,5.0,1,5.0
115.0,120.0,3.019452,2.62645,5.0,2,5.0
120.0,125.0,2.678668,2.625,5.0,1,5.0
125.0,130.0,2.736949,2.765531,5.0,2,5.0
130.0,135.0,3.112087,3.25,5.0,1,5.0
135.0,140.0,2.872076,3.25,5.0,1,5.0
140.0,145.0,2.832053,3.397858,5.0,2,5.0
145.0,150.0,2.693508,3.338602,5.0,2,5.0
150.0,155.0,3.150572,3.0,5.0,1,5.0
155.0,160.0,2.979904,3.0,5.0,1,5.0
160.0,165.0,3.754963,3.151064,5.0,2,5.0
165.0,170.0,3.51602,3.407519,5.0,2,5.0
170.0,175.0,2.733014,3.5,5.0,1,5.0
175.0,180.0,2.742289,3.5,5.0,2,5.0
180.0,185.0,3.046584,3.5,5.0,1,5.0
185.0,188.691688,3.388837,3.5,3.691687,1,5.0
