block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,4.354376,4.25,5.0,1,5.0
5.0,10.0,4.540486,4.25,5.0,2,5.0
10.0,15.0,4.317623,4.25,5.0,2,5.0
15.0,20.0,4.569783,4.25,5.0,2,5.0
20.0,25.0,4.410599,4.25,5.0,1,5.0
25.0,30.0,4.333957,4.338231,5.0,2,5.0
30.0,35.0,4.490801,4.344336,5.0,2,5.0
35.0,40.0,4.245368,4.242272,5.0,2,5.0
40.0,45.0,4.158163,4.121309,5.0,2,5.0
45.0,50.0,4.614881,4.333963,5.0,2,5.0
50.0,55.0,4.449607,4.4261,5.0,2,5.0
55.0,60.0,4.376386,4.25,5.0,1,5.0
60.0,65.0,4.352736,4.329422,5.0,2,5.0
65.0,70.0,4.300402,4.309027,5.0,2,5.0
70.0,75.0,4.55795,4.308039,5.0,2,5.0
75.0,80.0,4.135286,4.306684,5.0,2,5.0
80.0,85.0,4.379448,3.59355,5.0,2,5.0
85.0,90.0,4.360419,4.477084,5.0,2,5.0
90.0,95.0,4.497779,4.375,5.0,1,5.0
95.0,100.0,4.680713,4.432631,5.0,2,5.0
100.0,105.0,4.461648,4.625,5.0,1,5.0
105.0,110.0,4.48295,4.284125,5.0,2,5.0
110.0,115.0,4.560263,4.125,5.0,1,5.0
115.0,120.0,4.485415,4.233823,5.0,2,5.0
120.0,125.0,4.023922,3.219219,5.0,2,5.0
125.0,130.0,4.488502,3.555175,5.0,2,5.0
130.0,135.0,4.561614,4.232034,5.0,2,5.0
135.0,140.0,4.551002,4.582311,5.0,3,5.0
140.0,145.0,4.376125,4.625,5.0,1,5.0
145.0,150.0,4.50705,4.23965,5.0,2,5.0
150.0,155.0,4.352528,4.341281,5.0,2,5.0
155.0,160.0,4.340117,4.375,5.0,2,5.0
160.0,165.0,4.431513,4.164334,5.0,2,5.0
165.0,170.0,4.253925,4.169359,5.0,2,5.0
170.0,175.0,4.512305,4.75,5.0,1,5.0
175.0,180.0,4.34256,4.69262,5.0,2,5.0
180.0,185.0,3.709468,3.467083,5.0,2,5.0
185.0,185.75975,4.478973,3.25,0.75975,1,5.0
