block_start_s,block_end_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,3.170217,3.125,5.0,1,5.0
5.0,10.0,3.168267,3.1565,5.0,2,5.0
10.0,15.0,3.139263,3.625,5.0,1,5.0
15.0,20.0,3.166041,3.625,5.0,2,5.0
20.0,25.0,3.380024,3.609375,5.0,2,5.0
25.0,30.0,2.959201,3.5,5.0,1,5.0
30.0,35.0,2.959201,3.5,5.0,1,5.0
35.0,40.0,2.984255,3.381875,5.0,2,5.0
40.0,45.0,3.06894,2.954,5.0,2,5.0
45.0,50.0,3.019535,3.125,5.0,1,5.0
50.0,55.0,3.019535,3.125,5.0,1,5.0
55.0,60.0,3.067595,2.95925,5.0,2,5.0
60.0,65.0,3.092024,2.875,5.0,1,5.0
65.0,70.0,3.092024,2.875,5.0,1,5.0
70.0,75.0,3.414069,3.52675,5.0,2,5.0
75.0,80.0,3.424988,3.50225,5.0,2,5.0
80.0,85.0,3.38598,3.375,5.0,1,5.0
85.0,90.0,3.212792,3.047,5.0,2,5.0
90.0,95.0,2.857967,2.375,5.0,1,5.0
95.0,100.0,2.857967,2.375,5.0,1,5.0
100.0,105.0,3.026781,2.7235,5.0,2,5.0
105.0,110.0,3.100168,2.875,5.0,1,5.0
110.0,115.0,3.107713,3.22375,5.0,2,5.0
115.0,120.0,3.10828,3.25,5.0,1,5.0
120.0,125.0,3.173101,3.331,5.0,2,5.0
125.0,130.0,3.208313,3.375,5.0,1,5.0
130.0,135.0,3.208313,3.375,5.0,1,5.0
135.0,140.0,3.113382,3.375,5.0,2,5.0
140.0,145.0,2.96859,3.375,5.0,1,5.0
145.0,150.0,2.96859,3.375,5.0,1,5.0
150.0,155.0,3.361994,3.495125,5.0,2,5.0
155.0,160.0,3.37796,3.5,5.0,1,5.0
160.0,165.0,2.91467,2.975,5.0,2,5.0
165.0,170.0,2.826425,2.875,5.0,1,5.0
170.0,175.0,2.826425,2.875,5.0,1,5.0
175.0,180.0,3.273028,3.426875,5.0,2,5.0
180.0,185.0,3.332204,3.5,5.0,1,5.0
185.0,185.935,3.332204,3.5,0.935,1,5.0
