block_start_s,block_end_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,4.022667,4.25,5.0,2,5.0
5.0,10.0,3.583741,4.25,5.0,1,5.0
10.0,15.0,3.58691,4.293245,5.0,2,5.0
15.0,20.0,3.592901,4.375,5.0,1,5.0
20.0,25.0,3.814263,4.021478,5.0,3,5.0
25.0,30.0,3.715428,4.375,5.0,1,5.0
30.0,35.0,4.061378,4.375,5.0,2,5.0
35.0,40.0,3.724667,4.701613,5.0,2,5.0
40.0,45.0,3.426132,4.875,5.0,1,5.0
45.0,50.0,3.67085,4.616695,5.0,2,5.0
50.0,55.0,3.778016,4.501252,5.0,2,5.0
55.0,60.0,3.513402,4.580614,5.0,2,5.0
60.0,65.0,3.968623,4.25,5.0,2,5.0
65.0,70.0,3.583741,4.25,5.0,1,5.0
70.0,75.0,3.587994,4.308041,5.0,2,5.0
75.0,80.0,3.592901,4.375,5.0,1,5.0
80.0,85.0,3.828766,4.021478,5.0,3,5.0
85.0,90.0,3.715428,4.375,5.0,1,5.0
90.0,95.0,4.129034,4.375,5.0,2,5.0
95.0,100.0,3.62277,4.760794,5.0,2,5.0
100.0,105.0,3.426132,4.875,5.0,1,5.0
105.0,110.0,3.712901,4.572309,5.0,2,5.0
110.0,115.0,3.737921,4.516047,5.0,2,5.0
115.0,120.0,3.584144,4.536228,5.0,2,5.0
120.0,125.0,3.91458,4.25,5.0,2,5.0
125.0,130.0,3.583741,4.25,5.0,1,5.0
130.0,135.0,3.589079,4.322836,5.0,2,5.0
135.0,140.0,3.607698,4.346078,5.0,2,5.0
140.0,145.0,3.828471,4.0504,5.0,2,5.0
145.0,150.0,3.715428,4.375,5.0,1,5.0
150.0,155.0,4.196689,4.375,5.0,2,5.0
155.0,160.0,3.520873,4.819975,5.0,2,5.0
160.0,165.0,3.426132,4.875,5.0,1,5.0
165.0,170.0,3.754953,4.527923,5.0,2,5.0
170.0,175.0,3.697825,4.530842,5.0,2,5.0
175.0,180.0,3.654887,4.491842,5.0,2,5.0
180.0,183.031062,4.040338,4.25,3.031063,1,5.0
