block_start_s,block_end_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,4.064951,4.264513,5.0,2,5.0
5.0,10.0,4.573381,4.606619,5.0,2,5.0
10.0,15.0,4.439816,4.5,5.0,1,5.0
15.0,20.0,4.417988,4.675594,5.0,2,5.0
20.0,25.0,4.393201,4.875,5.0,1,5.0
25.0,30.0,4.33218,4.623081,5.0,2,5.0
30.0,35.0,4.338933,4.375,5.0,2,5.0
35.0,40.0,4.393223,4.375,5.0,1,5.0
40.0,45.0,4.170504,4.021478,5.0,3,5.0
45.0,50.0,4.319053,4.375,5.0,1,5.0
50.0,55.0,4.026992,4.273613,5.0,2,5.0
55.0,60.0,3.968985,4.25,5.0,2,5.0
60.0,65.0,4.130388,4.308898,5.0,2,5.0
65.0,70.0,4.554846,4.591823,5.0,2,5.0
70.0,75.0,4.439816,4.5,5.0,1,5.0
75.0,80.0,4.412471,4.71998,5.0,2,5.0
80.0,85.0,4.393201,4.875,5.0,1,5.0
85.0,90.0,4.317845,4.5639,5.0,2,5.0
90.0,95.0,4.353271,4.375,5.0,2,5.0
95.0,100.0,4.393223,4.375,5.0,1,5.0
100.0,105.0,4.161725,4.021478,5.0,3,5.0
105.0,110.0,4.319053,4.375,5.0,1,5.0
110.0,115.0,3.984373,4.258817,5.0,2,5.0
115.0,120.0,3.978996,4.25,5.0,2,5.0
120.0,125.0,4.195825,4.353284,5.0,2,5.0
125.0,130.0,4.536312,4.577028,5.0,2,5.0
130.0,135.0,4.439816,4.5,5.0,1,5.0
135.0,140.0,4.406954,4.764366,5.0,2,5.0
140.0,145.0,4.393201,4.875,5.0,1,5.0
145.0,150.0,4.30351,4.504719,5.0,2,5.0
150.0,155.0,4.367609,4.375,5.0,2,5.0
155.0,160.0,4.366847,4.327516,5.0,2,5.0
160.0,165.0,4.179323,4.068962,5.0,2,5.0
165.0,170.0,4.301832,4.369022,5.0,2,5.0
170.0,175.0,3.958973,4.25,5.0,1,5.0
175.0,180.0,3.989007,4.25,5.0,2,5.0
180.0,183.031062,4.043555,4.25,3.031063,1,5.0
