block_start_s,block_end_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,4.374616,4.25,5.0,1,5.0
5.0,10.0,4.366847,4.25,5.0,2,5.0
10.0,15.0,4.248589,4.25,5.0,2,5.0
15.0,20.0,4.275224,4.25,5.0,2,5.0
20.0,25.0,4.466689,4.25,5.0,1,5.0
25.0,30.0,4.342795,4.338231,5.0,2,5.0
30.0,35.0,4.328953,4.344336,5.0,2,5.0
35.0,40.0,4.434666,4.242272,5.0,2,5.0
40.0,45.0,4.375818,4.121309,5.0,2,5.0
45.0,50.0,4.584227,4.333963,5.0,2,5.0
50.0,55.0,4.443937,4.4261,5.0,2,5.0
55.0,60.0,4.485298,4.25,5.0,1,5.0
60.0,65.0,4.241792,4.329422,5.0,2,5.0
65.0,70.0,4.229726,4.309027,5.0,2,5.0
70.0,75.0,4.41598,4.308039,5.0,2,5.0
75.0,80.0,4.49564,4.306684,5.0,2,5.0
80.0,85.0,4.436495,3.59355,5.0,2,5.0
85.0,90.0,4.299323,4.477084,5.0,2,5.0
90.0,95.0,4.490172,4.375,5.0,1,5.0
95.0,100.0,4.475398,4.432631,5.0,2,5.0
100.0,105.0,4.426082,4.625,5.0,1,5.0
105.0,110.0,4.471148,4.284125,5.0,2,5.0
110.0,115.0,4.492186,4.125,5.0,1,5.0
115.0,120.0,4.291145,4.233823,5.0,2,5.0
120.0,125.0,4.100526,3.219219,5.0,2,5.0
125.0,130.0,4.268084,3.555175,5.0,2,5.0
130.0,135.0,4.51238,4.232034,5.0,2,5.0
135.0,140.0,4.458363,4.582311,5.0,3,5.0
140.0,145.0,4.540452,4.625,5.0,1,5.0
145.0,150.0,4.418926,4.23965,5.0,2,5.0
150.0,155.0,4.006334,4.341281,5.0,2,5.0
155.0,160.0,4.256559,4.375,5.0,2,5.0
160.0,165.0,4.356718,4.164334,5.0,2,5.0
165.0,170.0,4.3589,4.169359,5.0,2,5.0
170.0,175.0,4.297845,4.75,5.0,1,5.0
175.0,180.0,4.282625,4.69262,5.0,2,5.0
180.0,185.0,4.144217,3.467083,5.0,2,5.0
185.0,185.75975,4.131268,3.25,0.75975,1,5.0
