block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,3.309208,3.5,5.0,1,5.0
5.0,10.0,3.281836,3.5,5.0,1,5.0
10.0,15.0,2.783649,2.91875,5.0,2,5.0
15.0,20.0,3.108801,2.875,5.0,1,5.0
20.0,25.0,3.056086,2.875,5.0,1,5.0
25.0,30.0,3.164761,3.483125,5.0,2,5.0
30.0,35.0,3.535229,3.5,5.0,1,5.0
35.0,40.0,3.300992,3.3935,5.0,2,5.0
40.0,45.0,3.111866,3.375,5.0,1,5.0
45.0,50.0,3.473475,3.375,5.0,2,5.0
50.0,55.0,2.925614,3.375,5.0,1,5.0
55.0,60.0,3.337047,3.375,5.0,1,5.0
60.0,65.0,3.247903,3.354375,5.0,2,5.0
65.0,70.0,3.128044,3.25,5.0,1,5.0
70.0,75.0,3.572891,3.25,5.0,1,5.0
75.0,80.0,3.261938,2.918875,5.0,2,5.0
80.0,85.0,2.819547,2.817,5.0,2,5.0
85.0,90.0,3.063353,2.375,5.0,1,5.0
90.0,95.0,3.56505,2.375,5.0,1,5.0
95.0,100.0,3.403267,2.86,5.0,2,5.0
100.0,105.0,3.458346,3.375,5.0,1,5.0
105.0,110.0,3.446218,3.4555,5.0,2,5.0
110.0,115.0,2.735275,3.625,5.0,1,5.0
115.0,120.0,3.112652,2.917,5.0,2,5.0
120.0,125.0,3.232994,2.875,5.0,1,5.0
125.0,130.0,3.333174,2.9125,5.0,2,5.0
130.0,135.0,2.876234,3.125,5.0,1,5.0
135.0,140.0,3.375621,3.125,5.0,1,5.0
140.0,145.0,3.293,3.00075,5.0,2,5.0
145.0,150.0,2.680523,3.265,5.0,2,5.0
150.0,155.0,3.058493,3.5,5.0,1,5.0
155.0,160.0,2.594023,3.5,5.0,1,5.0
160.0,165.0,3.367518,3.586,5.0,2,5.0
165.0,170.0,3.008088,3.625,5.0,2,5.0
170.0,175.0,3.051273,3.625,5.0,1,5.0
175.0,180.0,3.07599,3.25,5.0,2,5.0
180.0,185.0,3.472159,3.125,5.0,1,5.0
185.0,185.935,2.755084,3.125,0.935,1,5.0
