block_start_s,block_end_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,3.593904,4.25,5.0,1,5.0
5.0,10.0,3.574287,4.25,5.0,2,5.0
10.0,15.0,4.142101,4.348392,5.0,2,5.0
15.0,20.0,3.867486,3.780394,5.0,2,5.0
20.0,25.0,4.200786,4.281903,5.0,2,5.0
25.0,30.0,4.04875,4.470889,5.0,2,5.0
30.0,35.0,3.494117,4.25,5.0,1,5.0
35.0,40.0,4.102033,3.133747,5.0,2,5.0
40.0,45.0,3.48681,3.757688,5.0,2,5.0
45.0,50.0,3.630448,4.433817,5.0,2,5.0
50.0,55.0,3.994193,4.359922,5.0,2,5.0
55.0,60.0,3.683884,4.293239,5.0,2,5.0
60.0,65.0,3.80721,4.375,5.0,1,5.0
65.0,70.0,4.458587,4.375,5.0,2,5.0
70.0,75.0,3.786967,4.253397,5.0,2,5.0
75.0,80.0,3.946132,4.32815,5.0,2,5.0
80.0,85.0,4.005643,4.397869,5.0,2,5.0
85.0,90.0,3.653876,4.170847,5.0,2,5.0
90.0,95.0,4.027899,4.309972,5.0,2,5.0
95.0,100.0,3.424316,4.375,5.0,1,5.0
100.0,105.0,3.471565,4.309128,5.0,2,5.0
105.0,110.0,3.526224,4.264691,5.0,2,5.0
110.0,115.0,3.61818,4.375,5.0,1,5.0
115.0,120.0,3.160128,3.635889,5.0,2,5.0
120.0,125.0,3.937332,3.999897,5.0,3,5.0
125.0,130.0,4.512039,4.255863,5.0,3,5.0
130.0,135.0,4.705682,4.181231,5.0,2,5.0
135.0,140.0,4.465364,4.378375,5.0,2,5.0
140.0,145.0,3.964546,4.75,5.0,1,5.0
145.0,150.0,3.883035,4.68907,5.0,2,5.0
150.0,155.0,3.797323,4.625,5.0,1,5.0
155.0,160.0,4.619529,4.505202,5.0,3,5.0
160.0,165.0,3.497362,4.25,5.0,1,5.0
165.0,170.0,3.912725,4.196138,5.0,2,5.0
170.0,175.0,4.461306,4.125,5.0,1,5.0
175.0,180.0,3.927409,4.125,5.0,2,5.0
180.0,185.0,3.651405,4.125,5.0,1,5.0
185.0,185.75975,3.651405,4.125,0.75975,1,5.0
