block_start_s,block_end_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,4.219854,4.652087,5.0,2,5.0
5.0,10.0,4.097534,4.875,5.0,1,5.0
10.0,15.0,4.444356,4.785039,5.0,2,5.0
15.0,20.0,4.253116,4.135852,5.0,2,5.0
20.0,25.0,4.442548,4.069547,5.0,2,5.0
25.0,30.0,4.21864,4.343747,5.0,2,5.0
30.0,35.0,4.396353,4.387369,5.0,2,5.0
35.0,40.0,4.036853,4.875,5.0,1,5.0
40.0,45.0,4.47453,4.875,5.0,2,5.0
45.0,50.0,3.990708,4.875,5.0,1,5.0
50.0,55.0,4.306788,4.755109,5.0,2,5.0
55.0,60.0,3.679486,4.093413,5.0,2,5.0
60.0,65.0,4.308154,4.375,5.0,1,5.0
65.0,70.0,4.61103,4.375,5.0,2,5.0
70.0,75.0,3.986831,4.375,5.0,2,5.0
75.0,80.0,4.318427,4.375,5.0,1,5.0
80.0,85.0,4.402203,4.273617,5.0,2,5.0
85.0,90.0,4.210791,4.568661,5.0,2,5.0
90.0,95.0,4.226418,4.600077,5.0,3,5.0
95.0,100.0,3.673343,4.25,5.0,1,5.0
100.0,105.0,3.894093,4.25,5.0,2,5.0
105.0,110.0,4.296222,4.25,5.0,1,5.0
110.0,115.0,3.966097,3.981602,5.0,3,5.0
115.0,120.0,4.205776,4.407202,5.0,2,5.0
120.0,125.0,3.859835,4.5,5.0,1,5.0
125.0,130.0,4.235429,4.427648,5.0,2,5.0
130.0,135.0,4.317966,4.29665,5.0,2,5.0
135.0,140.0,4.12264,4.25,5.0,2,5.0
140.0,145.0,4.129378,4.25,5.0,1,5.0
145.0,150.0,4.650943,4.371595,5.0,2,5.0
150.0,155.0,4.124873,4.42858,5.0,2,5.0
155.0,160.0,3.885131,4.5,5.0,1,5.0
160.0,165.0,4.104748,4.40627,5.0,2,5.0
165.0,170.0,4.366693,4.375,5.0,2,5.0
170.0,175.0,4.077741,4.384073,5.0,2,5.0
175.0,180.0,4.390926,4.5,5.0,1,5.0
180.0,183.031062,4.370534,4.5,3.031063,1,5.0
