block_start_s,block_end_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,4.442632,4.652087,5.0,2,5.0
5.0,10.0,4.511167,4.875,5.0,1,5.0
10.0,15.0,4.501638,4.785039,5.0,2,5.0
15.0,20.0,4.369264,4.135852,5.0,2,5.0
20.0,25.0,4.32529,4.069547,5.0,2,5.0
25.0,30.0,4.363874,4.343747,5.0,2,5.0
30.0,35.0,4.341152,4.387369,5.0,2,5.0
35.0,40.0,4.511167,4.875,5.0,1,5.0
40.0,45.0,4.511167,4.875,5.0,2,5.0
45.0,50.0,4.511167,4.875,5.0,1,5.0
50.0,55.0,4.465061,4.755109,5.0,2,5.0
55.0,60.0,4.221811,4.093413,5.0,2,5.0
60.0,65.0,4.336839,4.375,5.0,1,5.0
65.0,70.0,4.587283,4.375,5.0,2,5.0
70.0,75.0,4.615323,4.375,5.0,2,5.0
75.0,80.0,4.615323,4.375,5.0,1,5.0
80.0,85.0,4.477154,4.273617,5.0,2,5.0
85.0,90.0,4.435906,4.568661,5.0,2,5.0
90.0,95.0,4.411768,4.600077,5.0,3,5.0
95.0,100.0,4.095228,4.25,5.0,1,5.0
100.0,105.0,4.095228,4.25,5.0,2,5.0
105.0,110.0,4.095228,4.25,5.0,1,5.0
110.0,115.0,4.084593,3.981602,5.0,3,5.0
115.0,120.0,4.241973,4.407202,5.0,2,5.0
120.0,125.0,4.391414,4.5,5.0,1,5.0
125.0,130.0,4.2749,4.427648,5.0,2,5.0
130.0,135.0,4.349857,4.29665,5.0,2,5.0
135.0,140.0,4.212216,4.25,5.0,2,5.0
140.0,145.0,4.095228,4.25,5.0,1,5.0
145.0,150.0,4.601157,4.371595,5.0,2,5.0
150.0,155.0,4.519347,4.42858,5.0,2,5.0
155.0,160.0,4.391414,4.5,5.0,1,5.0
160.0,165.0,4.350492,4.40627,5.0,2,5.0
165.0,170.0,4.33323,4.375,5.0,2,5.0
170.0,175.0,4.204728,4.384073,5.0,2,5.0
175.0,180.0,4.391414,4.5,5.0,1,5.0
180.0,183.031062,4.391414,4.5,3.031063,1,5.0
