elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
1.92275,4.684026,4.875
8.57075,4.431428,4.778042
14.858875,4.437205,4.607479
19.974375,4.480659,4.611966
24.718375,4.508492,4.542497
31.621813,4.562696,4.533219
37.94475,4.375409,4.527684
42.909312,4.430107,4.495556
49.510875,4.342701,4.396147
59.36325,4.389671,4.371891
61.286,4.398906,4.387675
67.934,4.394939,4.423132
74.222125,4.399187,4.419055
79.337625,4.412578,4.432333
84.081625,4.424602,4.422046
90.985062,4.449806,4.427961
97.308,4.384109,4.432642
102.272562,4.406636,4.423776
108.874125,4.368311,4.382922
118.7265,4.389671,4.371891
120.64925,4.394362,4.379909
127.29725,4.392482,4.399237
133.585375,4.394958,4.398096
138.700875,4.402774,4.406465
143.444875,4.410146,4.40129
150.348312,4.426062,4.405822
156.67125,4.386217,4.409623
161.635812,4.400405,4.40472
168.237375,4.375848,4.379029
178.08975,4.389671,4.371891
180.0125,4.392815,4.377265
