seconds,mos_pred_concat,mos_target_concat_durw
6.61,3.318684,3.75
12.53,3.393753,3.524505
20.06,3.350024,3.293495
25.42,3.317999,3.361367
27.56,3.356332,3.375662
34.13,3.32486,3.423659
37.68,3.353442,3.390992
43.69,3.429041,3.350963
45.8,3.440995,3.369346
52.32,3.422798,3.379964
54.2,3.434191,3.38165
58.07,3.447651,3.356215
60.39,3.454401,3.328124
65.37,3.442494,3.280272
71.39,3.376101,3.237179
73.99,3.386871,3.269841
79.44,3.3959,3.279914
82.51,3.417994,3.296559
87.92,3.383318,3.333691
96.05,3.360706,3.364696
108.45,3.333374,3.279021
114.07,3.319233,3.265274
122.46,3.281248,3.252809
127.77,3.299968,3.246081
130.15,3.311429,3.255647
133.62,3.313624,3.277338
136.83,3.320965,3.294292
140.53,3.33523,3.290932
146.54,3.337849,3.297642
149.33,3.337773,3.293949
152.27,3.337866,3.295295
156.3,3.332659,3.296276
161.85,3.342304,3.294689
165.01,3.348786,3.289045
168.28,3.349041,3.279896
171.6,3.350811,3.266419
174.97,3.358324,3.282688
177.74,3.358484,3.288672
182.28,3.361748,3.288954
