seconds,mos_pred_concat,mos_target_concat_durw
4.4,3.974386,4.111111
8.79,4.041721,3.833649
13.38,4.064381,3.684886
17.42,3.994784,3.740127
19.97,3.982725,3.722234
22.77,4.045196,3.707203
31.86,4.079206,3.790741
33.95,4.098849,3.803623
36.28,4.097217,3.809099
43.07,4.099369,3.816673
48.61,4.100799,3.867958
50.74,4.072039,3.859508
52.29,4.076801,3.861203
57.38,4.033424,3.812102
61.13,4.009173,3.799091
65.37,4.024006,3.763476
67.66,4.035424,3.762251
70.25,4.038253,3.774368
73.4,4.027778,3.771176
76.75,4.011658,3.754304
79.59,4.002236,3.730956
82.93,4.006849,3.745819
85.38,4.019332,3.749925
88.33,4.00629,3.751597
95.43,3.997838,3.751478
97.18,3.98933,3.745449
101.42,3.993736,3.731007
104.27,3.994151,3.744434
107.66,3.999846,3.735526
110.34,4.00179,3.741949
119.63,4.016175,3.72669
121.32,4.018403,3.724528
124.97,4.020948,3.713102
127.72,4.012492,3.713407
134.37,4.0207,3.702846
136.27,4.021297,3.712351
142.65,4.022781,3.708445
146.13,4.021431,3.713687
152.67,4.010192,3.688469
159.12,4.002976,3.670695
161.92,3.996089,3.664862
169.02,3.993411,3.656321
171.8,3.995706,3.655409
174.1,3.996376,3.65831
176.49,3.998434,3.656919
179.33,3.991029,3.663672
181.97,3.988486,3.665913
