seconds,mos_pred_concat,mos_target_concat_durw
4.41,4.357354,3.428571
10.91,4.313941,2.776046
15.59,4.248691,2.918324
20.46,4.230819,2.842555
27.28,4.179352,2.631916
37.3,4.16855,2.506935
41.71,4.182984,2.633078
47.0,4.180183,2.740032
53.62,4.177386,2.722743
64.71,4.073913,2.743893
67.45,4.059472,2.789842
75.48,4.064142,2.788559
82.36,4.028687,2.74357
85.55,4.022066,2.742962
88.85,3.993622,2.749132
93.6,3.98632,2.75725
97.03,3.961282,2.754048
107.65,3.970629,2.745427
114.15,3.944319,2.728864
117.7,3.935677,2.728424
122.9,3.927926,2.723641
132.81,3.928531,2.712283
139.74,3.933143,2.747215
145.2,3.923161,2.74544
156.66,3.931533,2.734801
164.37,3.933358,2.751931
173.95,3.935497,2.781328
183.6,3.936991,2.775301
