seconds,mos_pred_concat,mos_target_concat_durw
1.95,3.724096,3.714286
3.74,3.364221,3.420283
7.08,3.469571,3.261326
9.88,3.367336,3.274466
13.83,3.427285,3.327896
17.12,3.416383,3.369705
19.71,3.49659,3.345016
23.3,3.510774,3.407415
25.39,3.459108,3.456194
27.93,3.480025,3.343974
34.03,3.394616,3.365048
36.42,3.395752,3.357498
38.36,3.388899,3.334361
40.71,3.395976,3.365089
44.2,3.436111,3.400864
47.2,3.444079,3.375386
50.89,3.386266,3.420676
57.44,3.374011,3.424538
60.54,3.351018,3.425558
62.94,3.342355,3.412054
68.84,3.334886,3.391023
72.43,3.303133,3.351816
75.32,3.308273,3.376686
79.3,3.309181,3.364055
82.59,3.315702,3.33248
85.73,3.284495,3.34694
87.58,3.279091,3.35261
91.18,3.269569,3.367403
93.02,3.271861,3.36607
95.95,3.274439,3.352346
100.69,3.287616,3.33576
102.68,3.266234,3.311363
106.02,3.213789,3.304418
109.67,3.216178,3.334224
113.76,3.188243,3.336036
116.11,3.193951,3.345794
118.95,3.163002,3.317073
124.85,3.154635,3.325718
127.55,3.15404,3.31305
129.59,3.136489,3.302397
132.83,3.134075,3.299087
137.12,3.147924,3.308501
140.57,3.142232,3.293567
144.06,3.156669,3.289147
145.75,3.14432,3.287578
151.8,3.142419,3.290609
154.92,3.131716,3.267494
159.12,3.107062,3.251635
161.87,3.117192,3.242727
165.17,3.11844,3.235023
167.47,3.112135,3.235458
169.82,3.1066,3.236812
174.07,3.090825,3.249342
177.45,3.09022,3.23983
181.25,3.092383,3.248144
