elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
10.39,3.973,2.357143
17.38,3.919388,2.615691
23.42,3.839753,2.567433
27.36,3.846739,2.50012
31.54,3.835163,2.419114
36.77,3.894181,2.501736
40.96,3.88988,2.511788
45.85,3.921199,2.525074
52.5,3.925898,2.648565
54.84,3.940184,2.639855
59.78,3.93843,2.617029
73.02,3.96941,2.559546
77.56,3.964433,2.592645
80.76,3.984392,2.626396
83.06,3.981169,2.647818
85.0,3.979673,2.645481
89.5,3.965434,2.619312
93.04,3.973937,2.614772
94.53,3.972992,2.61454
100.26,3.95651,2.65943
107.95,3.959184,2.703119
112.73,3.956919,2.718969
120.92,3.967388,2.69285
123.72,3.963769,2.691571
126.15,3.968755,2.689486
128.79,3.964375,2.672791
130.23,3.957859,2.684702
136.73,3.96392,2.675921
146.45,3.960493,2.661228
152.25,3.960523,2.686832
157.75,3.936405,2.680318
164.19,3.938855,2.660172
173.43,3.93856,2.678277
178.58,3.940042,2.687555
185.82,3.952443,2.680247
