seconds,mos_pred_concat,mos_target_concat_durw
4.41,4.511753,3.428571
10.91,4.307603,2.776046
15.59,4.29112,2.918324
20.46,4.197262,2.842555
27.28,4.026058,2.631916
37.3,4.031563,2.506935
41.71,4.029266,2.633078
47.0,4.007559,2.740032
53.62,4.008126,2.722743
64.71,3.959191,2.743893
67.45,3.946956,2.789842
75.48,3.970173,2.788559
82.36,3.910192,2.74357
85.55,3.908827,2.742962
88.85,3.884911,2.749132
93.6,3.857529,2.75725
97.03,3.809748,2.754048
107.65,3.844295,2.745427
114.15,3.82514,2.728864
117.7,3.813579,2.728424
122.9,3.76123,2.723641
132.81,3.761207,2.712283
139.74,3.772987,2.747215
145.2,3.786836,2.74544
156.66,3.78459,2.734801
164.37,3.790488,2.751931
173.95,3.788579,2.781328
183.6,3.800149,2.775301
