elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.41,4.528752,3.428571
10.91,4.160915,2.776046
15.59,4.200255,2.918324
20.46,4.062181,2.842555
27.28,4.010431,2.631916
37.3,4.026316,2.506935
41.71,4.061567,2.633078
47.0,4.082038,2.740032
53.62,4.108122,2.722743
64.71,4.093886,2.743893
67.45,4.092953,2.789842
75.48,4.107238,2.788559
82.36,4.092873,2.74357
85.55,4.093225,2.742962
88.85,4.065873,2.749132
93.6,4.05459,2.75725
97.03,4.049343,2.754048
107.65,4.054276,2.745427
114.15,4.05205,2.728864
117.7,4.042145,2.728424
122.9,4.034664,2.723641
132.81,4.027545,2.712283
139.74,4.024811,2.747215
145.2,4.02173,2.74544
156.66,4.004424,2.734801
164.37,3.997075,2.751931
173.95,3.983795,2.781328
183.6,3.981179,2.775301
