elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
3.34,2.916229,3.090909
6.09,3.237801,2.926705
8.44,3.448938,3.174925
11.68,3.541736,3.172634
14.03,3.585777,3.199551
16.42,3.637821,3.206894
18.37,3.670251,3.260754
20.77,3.687779,3.238877
24.42,3.736256,3.382534
26.41,3.681932,3.284156
29.75,3.705273,3.26161
33.05,3.682583,3.221224
36.74,3.700076,3.299441
40.03,3.69093,3.239607
42.92,3.696118,3.290808
45.72,3.703712,3.291842
49.17,3.685737,3.250315
53.26,3.650126,3.260629
55.61,3.6568,3.286239
59.21,3.639252,3.313054
62.21,3.640395,3.297957
65.33,3.615713,3.242793
69.62,3.622549,3.264804
72.32,3.633439,3.244736
75.81,3.658676,3.238584
79.61,3.664641,3.257571
82.71,3.664239,3.264575
84.75,3.673521,3.249454
88.73,3.686439,3.243871
94.78,3.693724,3.251516
98.37,3.700628,3.227739
100.91,3.703122,3.202429
104.86,3.706068,3.21219
107.79,3.707567,3.204157
111.99,3.712977,3.183999
115.58,3.711694,3.201579
119.07,3.718334,3.219652
122.36,3.721065,3.228412
128.26,3.694331,3.225572
131.64,3.704269,3.213361
137.74,3.688281,3.224352
139.59,3.69247,3.229535
141.53,3.692607,3.225018
143.62,3.694764,3.236295
146.21,3.699313,3.23533
149.05,3.685644,3.214514
150.84,3.683077,3.213155
152.53,3.678033,3.212498
158.43,3.688722,3.223205
163.17,3.695764,3.216721
165.01,3.696122,3.21765
167.31,3.695274,3.218323
170.45,3.68229,3.227699
174.7,3.670091,3.240405
181.25,3.667124,3.248144
