elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.65,4.051651,2.666667
19.23,3.998153,2.975064
26.94,3.967736,3.010819
38.4,3.943336,2.888216
43.86,3.969148,2.864785
50.79,3.970188,2.940086
60.7,3.958754,2.879898
65.9,3.947698,2.859026
69.45,3.941859,2.851628
75.95,3.928653,2.817644
86.57,3.942809,2.799123
90.0,3.937204,2.794075
94.75,3.93485,2.799841
98.05,3.90462,2.803518
101.24,3.905638,2.801116
108.12,3.885503,2.766046
116.15,3.899382,2.766857
118.89,3.902822,2.792396
129.98,3.915116,2.796983
136.6,3.929079,2.787437
141.89,3.933794,2.81711
146.3,3.939286,2.843723
156.32,3.945444,2.800324
163.14,3.943018,2.766867
168.01,3.947768,2.76203
172.69,3.958477,2.775254
179.19,3.964505,2.759224
183.6,3.974502,2.775301
