elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
6.44,4.036861,2.166667
12.94,4.022896,2.334106
18.98,3.930194,2.364168
29.37,4.007106,2.361683
34.87,3.907658,2.383499
41.52,3.953468,2.562322
49.21,4.006346,2.673337
54.1,4.019451,2.669995
56.44,4.033467,2.660643
62.24,4.064631,2.72333
69.48,4.0865,2.700058
73.42,4.078621,2.667857
77.92,4.059454,2.636506
80.72,4.05243,2.636501
85.66,4.071523,2.620765
95.38,4.07001,2.603826
104.62,4.071541,2.638816
107.05,4.079975,2.637556
109.69,4.081385,2.619203
113.87,4.085018,2.592395
115.36,4.0902,2.592493
120.59,4.095783,2.610166
122.03,4.097214,2.623617
127.76,4.089943,2.658437
130.96,4.091338,2.677643
132.9,4.086848,2.675714
137.44,4.086511,2.690555
142.59,4.091284,2.701731
150.78,4.097226,2.681721
153.08,4.096621,2.692513
157.86,4.100114,2.704153
171.1,4.106616,2.672879
175.29,4.1064,2.671137
178.83,4.108722,2.667749
185.82,4.096103,2.680247
