seconds,mos_pred_concat,mos_target_concat_durw
3.34,2.820663,3.090909
6.09,3.021937,2.926705
8.44,3.116059,3.174925
11.68,3.276364,3.172634
14.03,3.351433,3.199551
16.42,3.399245,3.206894
18.37,3.414302,3.260754
20.77,3.44763,3.238877
24.42,3.510276,3.382534
26.41,3.4511,3.284156
29.75,3.421679,3.26161
33.05,3.442015,3.221224
36.74,3.450122,3.299441
40.03,3.423878,3.239607
42.92,3.444952,3.290808
45.72,3.454424,3.291842
49.17,3.448572,3.250315
53.26,3.350018,3.260629
55.61,3.344639,3.286239
59.21,3.356765,3.313054
62.21,3.336771,3.297957
65.33,3.365265,3.242793
69.62,3.398842,3.264804
72.32,3.39012,3.244736
75.81,3.42493,3.238584
79.61,3.441151,3.257571
82.71,3.444571,3.264575
84.75,3.445743,3.249454
88.73,3.446128,3.243871
94.78,3.43878,3.251516
98.37,3.445245,3.227739
100.91,3.433684,3.202429
104.86,3.419759,3.21219
107.79,3.421698,3.204157
111.99,3.400809,3.183999
115.58,3.390808,3.201579
119.07,3.394155,3.219652
122.36,3.400635,3.228412
128.26,3.375556,3.225572
131.64,3.383278,3.213361
137.74,3.34071,3.224352
139.59,3.336928,3.229535
141.53,3.340731,3.225018
143.62,3.330177,3.236295
146.21,3.328619,3.23533
149.05,3.283539,3.214514
150.84,3.280802,3.213155
152.53,3.262012,3.212498
158.43,3.253281,3.223205
163.17,3.257885,3.216721
165.01,3.258632,3.21765
167.31,3.257389,3.218323
170.45,3.223074,3.227699
174.7,3.201285,3.240405
181.25,3.146413,3.248144
