block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,5.0,2.5,3.737644,2.926705
5.0,10.0,7.5,3.857134,3.440559
10.0,15.0,12.5,3.883897,3.291315
15.0,20.0,17.5,3.864825,3.359606
20.0,25.0,22.5,3.815948,3.4509
25.0,30.0,27.5,3.81256,2.970919
30.0,35.0,32.5,3.911716,4.0
35.0,40.0,37.5,3.629639,2.571429
40.0,45.0,42.5,3.773565,3.659321
45.0,50.0,47.5,3.886371,3.071363
50.0,55.0,52.5,3.901347,3.866667
55.0,60.0,57.5,3.763537,3.396694
60.0,65.0,62.5,3.172944,2.142857
65.0,70.0,67.5,3.992506,3.262895
70.0,75.0,72.5,4.238361,3.111111
75.0,80.0,77.5,3.731343,3.550139
80.0,85.0,82.5,3.875896,2.959416
85.0,90.0,87.5,3.694456,3.363636
90.0,95.0,92.5,3.913445,2.6
95.0,100.0,97.5,3.548595,2.222222
100.0,105.0,102.5,3.760267,3.229493
105.0,110.0,107.5,3.826378,2.666667
110.0,115.0,112.5,3.57906,3.75
115.0,120.0,117.5,4.175579,3.685841
120.0,125.0,122.5,3.1323,3.166667
125.0,130.0,127.5,3.89571,2.75
130.0,135.0,132.5,3.932993,3.461538
135.0,140.0,137.5,3.888011,3.249198
140.0,145.0,142.5,3.819764,3.547203
145.0,150.0,147.5,3.532956,2.512897
150.0,155.0,152.5,3.790946,3.422925
155.0,160.0,157.5,3.786584,3.0
160.0,165.0,162.5,3.916752,3.3
165.0,170.0,167.5,3.685615,3.532531
170.0,175.0,172.5,3.697099,3.570812
