seconds,mos_pred_concat,mos_target_concat_durw
6.61,3.653448,3.75
12.53,3.761424,3.524505
20.06,3.72943,3.293495
25.42,3.780225,3.361367
27.56,3.813625,3.375662
34.13,3.823025,3.423659
37.68,3.830091,3.390992
43.69,3.887933,3.350963
45.8,3.876376,3.369346
52.32,3.807222,3.379964
54.2,3.7937,3.38165
58.07,3.820522,3.356215
60.39,3.821172,3.328124
65.37,3.792484,3.280272
71.39,3.78631,3.237179
73.99,3.782851,3.269841
79.44,3.78761,3.279914
82.51,3.800974,3.296559
87.92,3.794463,3.333691
96.05,3.79565,3.364696
108.45,3.818236,3.279021
114.07,3.814298,3.265274
122.46,3.805855,3.252809
127.77,3.818402,3.246081
130.15,3.819064,3.255647
133.62,3.800923,3.277338
136.83,3.812249,3.294292
140.53,3.82108,3.290932
146.54,3.816342,3.297642
149.33,3.817237,3.293949
152.27,3.811951,3.295295
156.3,3.808612,3.296276
161.85,3.797158,3.294689
165.01,3.791672,3.289045
168.28,3.78988,3.279896
171.6,3.796324,3.266419
174.97,3.792362,3.282688
177.74,3.789567,3.288672
182.28,3.787577,3.288954
